session_id,n_speakers_with_cdp,n_speakers_total,speaker_participation_cdp,total_cdp_score1,total_cdp_score2,gini_score1,gini_score2,conference,any_funded,funded_rate
2020_11_06_NES_S9,6,16,0.375,19,6,0.3421052631578947,0.2222222222222223,2020NES,1.0,1.0
2020_11_06_NES_S3,1,13,0.0769230769230769,1,1,0.0,0.0,2020NES,1.0,0.6666666666666666
2022_04_08_MND_S5,6,12,0.5,20,16,0.4599999999999999,0.53125,2022MND,1.0,0.3333333333333333
2020_11_06_NES_S12,4,11,0.3636363636363636,7,2,0.1904761904761904,0.0,2020NES,1.0,0.5
2020_11_06_NES_S11,3,10,0.3,6,2,0.2222222222222223,0.0,2020NES,1.0,0.3333333333333333
2020_11_06_NES_S1,2,10,0.2,3,1,0.1666666666666667,0.0,2020NES,1.0,0.5
2022_04_08_MND_S7,9,11,0.8181818181818182,34,9,0.4957983193277311,0.3611111111111111,2022MND,1.0,1.0
2020_11_05_NES_S5,5,11,0.4545454545454545,6,1,0.1333333333333333,0.0,2020NES,1.0,1.0
2020_11_05_NES_S4,4,9,0.4444444444444444,7,3,0.3214285714285714,0.0,2020NES,1.0,1.0
2020_11_05_NES_S3,4,10,0.4,6,5,0.25,0.3,2020NES,1.0,0.3333333333333333
2022_04_07_MND_S4,6,10,0.6,33,3,0.601010101010101,0.0,2022MND,1.0,0.5
2021_05_20_ABI_S6,7,13,0.5384615384615384,18,8,0.4761904761904763,0.3125,2021ABI,1.0,0.5
2021_05_21_ABI_S12,9,12,0.75,41,17,0.5087108013937283,0.3764705882352941,2021ABI,1.0,0.3333333333333333
2021_05_21_ABI_S13,9,11,0.8181818181818182,26,6,0.4102564102564101,0.2222222222222223,2021ABI,1.0,0.5
2021_10_07_CMC_S3,4,15,0.2666666666666666,17,13,0.2352941176470588,0.4423076923076923,2021CMC,1.0,0.6666666666666666
2021_10_07_CMC_S2,3,13,0.2307692307692307,18,6,0.3703703703703704,0.3333333333333332,2021CMC,1.0,1.0
2021_10_07_CMC_S1,7,13,0.5384615384615384,29,14,0.4827586206896552,0.4285714285714286,2021CMC,1.0,0.5
2021_06_11_SLU_S7,6,11,0.5454545454545454,27,12,0.3518518518518518,0.4166666666666667,2021SLU,1.0,1.0
2021_06_11_SLU_S8,6,10,0.6,19,12,0.5052631578947369,0.4444444444444444,2021SLU,1.0,1.0
2021_05_21_ABI_S15,6,12,0.5,23,5,0.5913043478260871,0.3,2021ABI,1.0,0.5
2021_05_21_ABI_S2,9,15,0.6,24,12,0.4375,0.3888888888888888,2021ABI,1.0,0.3333333333333333
2021_05_21_ABI_S7,7,13,0.5384615384615384,22,9,0.3333333333333332,0.3555555555555556,2021ABI,1.0,0.3333333333333333
2022_04_07_MND_S1,7,12,0.5833333333333334,28,5,0.3809523809523809,0.3,2022MND,1.0,0.3333333333333333
