conference,session_id,n_utterances,outcome,entropy_beginning,n_cdp_beginning,n_unique_cdp_beginning,entropy_middle,n_cdp_middle,n_unique_cdp_middle,entropy_end,n_cdp_end,n_unique_cdp_end
2020NES,2020_11_05_NES_S1,82,,0.8035001507383694,47,7,0.9123005784553762,53,8,0.9626826910129568,46,7
2020NES,2020_11_05_NES_S2,67,,0.9537963110793847,47,7,0.8910003359653159,31,6,0.898887880602351,57,7
2020NES,2020_11_05_NES_S3,45,,0.9424397142153079,32,8,0.8899044849516934,32,7,0.9214337637360627,38,8
2020NES,2020_11_05_NES_S4,41,,0.9241167420456057,26,5,0.8721695051039248,27,6,0.9642340577533965,23,8
2020NES,2020_11_05_NES_S5,28,,0.8730915782835221,17,6,0.9421567638998996,13,4,0.9101223762275823,16,7
2020NES,2020_11_05_NES_S6,23,,0.9350438661585582,16,7,0.9695703501901249,20,7,0.9337851376692216,14,6
2020NES,2020_11_06_NES_S1,56,,0.8823946587403237,43,7,0.8536416415327637,36,7,0.9116791475914626,43,8
2020NES,2020_11_06_NES_S10,71,,0.8607985237168416,46,7,0.9417879213949242,41,7,0.8721185787274558,47,8
2020NES,2020_11_06_NES_S11,86,,0.9329115116111527,60,8,0.889548158796495,61,7,0.9380516725713077,52,7
2020NES,2020_11_06_NES_S12,89,,0.9037818407198887,42,7,0.927852566224781,51,8,0.9307026501055428,60,8
2020NES,2020_11_06_NES_S2,77,,0.9668220072932916,42,7,0.8181433523518041,49,8,0.9553948075162777,47,7
2020NES,2020_11_06_NES_S3,38,,0.9312360665454191,25,6,0.7891226215034182,24,7,0.8115652900921527,17,7
2020NES,2020_11_06_NES_S4,88,,0.8639527636282364,58,7,0.9222742675344221,50,7,0.8821136508493103,61,8
2020NES,2020_11_06_NES_S7,80,,0.9516697031351883,49,7,0.8494007602357928,57,7,0.9487458707748716,48,7
2020NES,2020_11_06_NES_S8,120,,0.8662155173034103,59,5,0.9418951393795935,76,8,0.8591255149414782,63,8
2020NES,2020_11_06_NES_S9,160,,0.9218543779317878,85,8,0.8490787863204308,101,7,0.9049014653171615,107,8
2021ABI,2021_05_20_ABI_S1,121,,0.937531921475237,62,7,0.8879393650193593,62,8,0.9393060730277245,54,8
