conference,session_id,n_utterances,outcome,entropy_beginning,n_cdp_beginning,n_unique_cdp_beginning,entropy_middle,n_cdp_middle,n_unique_cdp_middle,entropy_end,n_cdp_end,n_unique_cdp_end
2021ABI,2021_05_21_ABI_S2,174,,0.0,12,1,0.0,4,1,0.0,20,1
2021ABI,2021_05_21_ABI_S3,232,,0.0,22,1,0.0,4,1,0.0,10,1
2021ABI,2021_05_21_ABI_S4,259,,0.0,20,1,0.0,1,1,0.0,7,1
2021ABI,2021_05_21_ABI_S5,298,,0.0,21,1,0.0,11,1,0.0,29,1
2021ABI,2021_05_21_ABI_S6,288,,0.0,22,1,0.0,6,1,0.0,12,1
2021ABI,2021_05_21_ABI_S7,139,,0.0,9,1,0.0,5,1,0.0,17,1
2021ABI,2021_05_21_ABI_S8,237,,0.0,14,1,0.0,2,1,0.0,8,1
2021ABI,2021_05_21_ABI_S9,174,,0.0,21,1,0.0,5,1,0.0,11,1
2021ABI,output-2021-05-20-ABI-S1,39,,0.0,7,1,,0,0,0.0,6,1
2021CMC,2021_10_07_CMC_S1,203,,0.0,21,1,0.0,2,1,0.0,21,1
2021CMC,2021_10_07_CMC_S2,121,,0.0,7,1,0.0,4,1,0.0,14,1
2021CMC,2021_10_07_CMC_S3,169,,0.0,5,1,0.0,9,1,0.0,18,1
2021CMC,2021_10_07_CMC_S4,187,,0.0,13,1,0.0,4,1,0.0,11,1
2021CMC,2021_10_07_CMC_S5,174,,0.0,9,1,,0,0,0.0,18,1
2021CMC,2021_10_07_CMC_S6,176,,0.0,15,1,0.0,6,1,0.0,6,1
2021CMC,2021_10_07_CMC_S7,131,,0.0,4,1,0.0,4,1,0.0,7,1
2021CMC,2021_10_08_CMC_S1,177,,0.0,18,1,0.0,8,1,0.0,20,1
2021CMC,2021_10_08_CMC_S10,182,,0.0,17,1,0.0,4,1,0.0,5,1
2021CMC,2021_10_08_CMC_S11,179,,0.0,20,1,0.0,5,1,0.0,7,1
2021CMC,2021_10_08_CMC_S12,126,,0.0,2,1,0.0,10,1,0.0,6,1
2021CMC,2021_10_08_CMC_S13,195,,0.0,29,1,0.0,11,1,0.0,18,1
2021CMC,2021_10_08_CMC_S14,258,,0.0,29,1,0.0,14,1,0.0,20,1
2021CMC,2021_10_08_CMC_S2,180,,0.0,11,1,0.0,8,1,0.0,7,1
2021CMC,2021_10_08_CMC_S3,169,,0.0,24,1,0.0,4,1,0.0,2,1
2021CMC,2021_10_08_CMC_S4,151,,0.0,11,1,0.0,7,1,0.0,16,1
2021CMC,2021_10_08_CMC_S5,195,,0.0,24,1,0.0,12,1,0.0,17,1
2021CMC,2021_10_08_CMC_S6,167,,0.0,26,1,0.0,4,1,0.0,8,1
2021CMC,2021_10_08_CMC_S7,151,,0.0,17,1,0.0,8,1,0.0,4,1
2021CMC,2021_10_08_CMC_S8,173,,0.0,17,1,0.0,3,1,0.0,14,1
2021CMC,2021_10_08_CMC_S9,184,,0.0,16,1,,0,0,0.0,12,1
2021MND,2021_04_22_MND_S1,199,,0.0,20,1,0.0,14,1,0.0,17,1
2021MND,2021_04_22_MND_S2,1,,,0,0,,0,0,,0,0
2021MND,2021_04_22_MND_S3,163,,,0,0,0.0,1,1,0.0,11,1
2021MND,2021_04_22_MND_S4,240,,0.0,11,1,0.0,5,1,0.0,19,1
2021MND,2021_04_22_MND_S5,222,,0.0,13,1,0.0,1,1,0.0,11,1
2021MND,2021_04_22_MND_S6,228,,0.0,4,1,0.0,17,1,0.0,22,1
2021MND,2021_04_22_MND_S7,187,,0.0,4,1,0.0,8,1,0.0,18,1
2021MND,2021_04_22_MND_S8,201,,0.0,2,1,0.0,6,1,0.0,9,1
2021MND,2021_04_23_MND_S1,153,,0.0,10,1,0.0,3,1,0.0,16,1
2021MND,2021_04_23_MND_S10,223,,0.0,21,1,0.0,1,1,0.0,13,1
2021MND,2021_04_23_MND_S11,214,,0.0,10,1,0.0,3,1,0.0,21,1
2021MND,2021_04_23_MND_S12,193,,0.0,12,1,0.0,1,1,0.0,3,1
2021MND,2021_04_23_MND_S13,209,,0.0,16,1,0.0,9,1,0.0,17,1
2021MND,2021_04_23_MND_S14,204,,0.0,6,1,0.0,3,1,0.0,30,1
2021MND,2021_04_23_MND_S15,213,,0.0,20,1,0.0,7,1,0.0,18,1
2021MND,2021_04_23_MND_S16,186,,0.0,12,1,0.0,3,1,0.0,10,1
2021MND,2021_04_23_MND_S2,218,,0.0,14,1,0.0,5,1,0.0,21,1
2021MND,2021_04_23_MND_S3,134,,0.0,13,1,0.0,1,1,0.0,4,1
2021MND,2021_04_23_MND_S4,182,,0.0,13,1,0.0,6,1,0.0,16,1
2021MND,2021_04_23_MND_S5,176,,0.0,15,1,0.0,9,1,0.0,14,1
2021MND,2021_04_23_MND_S6,259,,0.0,14,1,0.0,4,1,0.0,16,1
2021MND,2021_04_23_MND_S7,202,,0.0,9,1,0.0,9,1,0.0,18,1
2021MND,2021_04_23_MND_S8,175,,0.0,8,1,0.0,11,1,0.0,9,1
2021MND,2021_04_23_MND_S9,180,,0.0,6,1,0.0,2,1,0.0,4,1
2021MZT,2021_09_30_MZT_S2,145,,0.0,5,1,0.0,3,1,0.0,2,1
2021MZT,2021_09_30_MZT_S3,123,,0.0,7,1,0.0,12,1,0.0,9,1
2021MZT,2021_09_30_MZT_S4,147,,0.0,13,1,0.0,7,1,0.0,4,1
2021MZT,2021_09_30_MZT_S5,130,,0.0,5,1,,0,0,0.0,14,1
2021MZT,2021_09_30_MZT_S6,39,,0.0,3,1,0.0,7,1,,0,0
2021MZT,2021_09_30_MZT_S7,425,,0.0,27,1,0.0,39,1,0.0,14,1
2021MZT,2021_10_01_MZT_S1,201,,0.0,14,1,0.0,4,1,0.0,8,1
2021MZT,2021_10_01_MZT_S11,132,,0.0,13,1,0.0,2,1,0.0,16,1
2021MZT,2021_10_01_MZT_S2,181,,0.0,16,1,0.0,3,1,0.0,11,1
2021MZT,2021_10_01_MZT_S3,249,,0.0,20,1,0.0,4,1,0.0,21,1
2021MZT,2021_10_01_MZT_S4,220,,0.0,12,1,0.0,13,1,0.0,25,1
2021MZT,2021_10_01_MZT_S5,243,,0.0,19,1,0.0,9,1,0.0,18,1
2021MZT,2021_10_01_MZT_S7,184,,0.0,16,1,0.0,1,1,0.0,11,1
2021MZT,2021_10_01_MZT_S8,180,,0.0,13,1,0.0,1,1,0.0,18,1
2021MZT,2021_10_01_MZT_S9,197,,0.0,21,1,0.0,8,1,0.0,12,1
2021NES,2021_11_04_NES_S1,115,,0.0,1,1,0.0,8,1,0.0,21,1
2021NES,2021_11_04_NES_S2,174,,0.0,2,1,0.0,2,1,0.0,16,1
2021NES,2021_11_04_NES_S3,244,,0.0,39,1,0.0,7,1,0.0,24,1
2021NES,2021_11_04_NES_S4,219,,0.0,16,1,0.0,8,1,0.0,13,1
2021NES,2021_11_04_NES_S5,187,,0.0,18,1,0.0,2,1,0.0,11,1
2021NES,2021_11_04_NES_S6,172,,0.0,9,1,0.0,13,1,0.0,17,1
2021NES,2021_11_05_NES_S1,382,,0.0,35,1,0.0,4,1,0.0,49,1
2021NES,2021_11_05_NES_S10,276,,0.0,22,1,0.0,8,1,0.0,19,1
2021NES,2021_11_05_NES_S11,148,,0.0,17,1,0.0,2,1,0.0,22,1
2021NES,2021_11_05_NES_S12,255,,0.0,23,1,0.0,8,1,0.0,13,1
2021NES,2021_11_05_NES_S2,163,,0.0,12,1,0.0,9,1,0.0,24,1
2021NES,2021_11_05_NES_S3,315,,0.0,25,1,0.0,17,1,0.0,30,1
2021NES,2021_11_05_NES_S4,225,,0.0,24,1,0.0,13,1,0.0,39,1
2021NES,2021_11_05_NES_S5,299,,0.0,21,1,0.0,13,1,0.0,32,1
2021NES,2021_11_05_NES_S6,339,,0.0,34,1,0.0,9,1,0.0,34,1
2021NES,2021_11_05_NES_S7,347,,0.0,13,1,0.0,12,1,0.0,39,1
2021NES,2021_11_05_NES_S8,148,,0.0,24,1,0.0,8,1,0.0,11,1
2021NES,2021_11_05_NES_S9,266,,0.0,19,1,0.0,10,1,0.0,22,1
2021SLU,2021_06_10_SLU_S1,213,,0.0,27,1,0.0,3,1,0.0,19,1
2021SLU,2021_06_10_SLU_S2,190,,0.0,12,1,0.0,2,1,0.0,18,1
2021SLU,2021_06_10_SLU_S3,178,,0.0,21,1,0.0,11,1,0.0,17,1
2021SLU,2021_06_10_SLU_S4,308,,0.0,28,1,0.0,2,1,0.0,13,1
2021SLU,2021_06_10_SLU_S5,202,,0.0,28,1,0.0,3,1,0.0,18,1
2021SLU,2021_06_10_SLU_S6,249,,0.0,12,1,0.0,4,1,0.0,14,1
2021SLU,2021_06_10_SLU_S7,205,,0.0,24,1,0.0,6,1,0.0,16,1
2021SLU,2021_06_11_SLU_S1,269,,0.0,22,1,0.0,3,1,0.0,18,1
2021SLU,2021_06_11_SLU_S10,246,,0.0,18,1,0.0,1,1,0.0,17,1
2021SLU,2021_06_11_SLU_S11,201,,0.0,22,1,0.0,5,1,0.0,11,1
2021SLU,2021_06_11_SLU_S12,257,,0.0,29,1,0.0,4,1,0.0,11,1
2021SLU,2021_06_11_SLU_S13,257,,0.0,23,1,0.0,3,1,0.0,13,1
2021SLU,2021_06_11_SLU_S2,247,,0.0,11,1,,0,0,0.0,18,1
2021SLU,2021_06_11_SLU_S3,229,,0.0,13,1,0.0,4,1,0.0,14,1
2021SLU,2021_06_11_SLU_S4,209,,0.0,29,1,0.0,8,1,0.0,7,1
2021SLU,2021_06_11_SLU_S5,180,,0.0,8,1,0.0,2,1,0.0,8,1
2021SLU,2021_06_11_SLU_S6,253,,0.0,19,1,0.0,4,1,0.0,11,1
2021SLU,2021_06_11_SLU_S7,199,,0.0,10,1,0.0,7,1,0.0,22,1
2021SLU,2021_06_11_SLU_S8,262,,0.0,17,1,0.0,5,1,0.0,9,1
2021SLU,2021_06_11_SLU_S9,260,,0.0,29,1,0.0,6,1,0.0,5,1
2022MND,2022_04_07_MND_S1,283,,0.0,12,1,0.0,8,1,0.0,13,1
2022MND,2022_04_07_MND_S2,271,,0.0,24,1,0.0,3,1,0.0,19,1
2022MND,2022_04_07_MND_S3,141,,0.0,5,1,0.0,1,1,0.0,10,1
2022MND,2022_04_07_MND_S4,257,,0.0,17,1,0.0,6,1,0.0,15,1
2022MND,2022_04_07_MND_S5,258,,0.0,9,1,0.0,13,1,0.0,12,1
2022MND,2022_04_07_MND_S6,234,,0.0,11,1,0.0,3,1,0.0,11,1
2022MND,2022_04_08_MND_S1,230,,0.0,12,1,0.0,4,1,0.0,21,1
2022MND,2022_04_08_MND_S10,197,,0.0,6,1,,0,0,0.0,7,1
2022MND,2022_04_08_MND_S11,211,,0.0,21,1,0.0,4,1,0.0,21,1
2022MND,2022_04_08_MND_S12,12,,,0,0,,0,0,0.0,3,1
2022MND,2022_04_08_MND_S2,312,,0.0,23,1,0.0,14,1,0.0,14,1
2022MND,2022_04_08_MND_S3,281,,0.0,6,1,0.0,17,1,0.0,5,1
2022MND,2022_04_08_MND_S4,216,,0.0,9,1,0.0,1,1,0.0,7,1
2022MND,2022_04_08_MND_S5,255,,0.0,22,1,0.0,1,1,0.0,13,1
2022MND,2022_04_08_MND_S6,6,,,0,0,0.0,1,1,0.0,1,1
2022MND,2022_04_08_MND_S7,259,,0.0,19,1,0.0,3,1,0.0,22,1
2022MND,2022_04_08_MND_S8,365,,0.0,6,1,0.0,4,1,0.0,22,1
2022MND,2022_04_08_MND_S9,273,,0.0,17,1,0.0,3,1,0.0,22,1
