conference,session_id,n_utterances,outcome,entropy_beginning,n_cdp_beginning,n_unique_cdp_beginning,entropy_middle,n_cdp_middle,n_unique_cdp_middle,entropy_end,n_cdp_end,n_unique_cdp_end
2020NES,2020_11_05_NES_S1,82,,0.0,3,1,0.0,4,1,0.0,3,1
2020NES,2020_11_05_NES_S2,67,,0.0,5,1,,0,0,,0,0
2020NES,2020_11_05_NES_S3,45,,0.0,1,1,0.0,1,1,0.0,9,1
2020NES,2020_11_05_NES_S4,41,,0.0,5,1,0.0,2,1,0.0,3,1
2020NES,2020_11_05_NES_S5,28,,0.0,2,1,,0,0,0.0,5,1
2020NES,2020_11_05_NES_S6,23,,0.0,2,1,0.0,2,1,,0,0
2020NES,2020_11_06_NES_S1,56,,,0,0,0.0,1,1,0.0,3,1
2020NES,2020_11_06_NES_S10,71,,,0,0,0.0,3,1,0.0,2,1
2020NES,2020_11_06_NES_S11,86,,0.0,4,1,0.0,2,1,0.0,2,1
2020NES,2020_11_06_NES_S12,89,,0.0,1,1,0.0,6,1,0.0,3,1
2020NES,2020_11_06_NES_S2,77,,0.0,8,1,0.0,2,1,0.0,11,1
2020NES,2020_11_06_NES_S3,38,,,0,0,,0,0,0.0,2,1
2020NES,2020_11_06_NES_S4,88,,0.0,1,1,0.0,5,1,0.0,3,1
2020NES,2020_11_06_NES_S7,80,,0.0,11,1,0.0,1,1,0.0,5,1
2020NES,2020_11_06_NES_S8,120,,0.0,20,1,0.0,7,1,0.0,3,1
2020NES,2020_11_06_NES_S9,160,,0.0,15,1,,0,0,0.0,10,1
2021ABI,2021_05_20_ABI_S1,121,,0.0,14,1,0.0,5,1,0.0,11,1
2021ABI,2021_05_20_ABI_S2,287,,0.0,13,1,0.0,17,1,0.0,19,1
2021ABI,2021_05_20_ABI_S3,151,,0.0,15,1,0.0,3,1,0.0,11,1
2021ABI,2021_05_20_ABI_S4,228,,0.0,26,1,0.0,8,1,0.0,12,1
2021ABI,2021_05_20_ABI_S5,235,,0.0,14,1,0.0,9,1,0.0,19,1
2021ABI,2021_05_20_ABI_S6,230,,0.0,16,1,0.0,3,1,0.0,7,1
2021ABI,2021_05_20_ABI_S7,188,,0.0,18,1,,0,0,0.0,13,1
2021ABI,2021_05_20_ABI_S8,327,,0.0,27,1,0.0,2,1,0.0,23,1
2021ABI,2021_05_21_ABI_S1,275,,0.0,20,1,0.0,16,1,0.0,18,1
2021ABI,2021_05_21_ABI_S10,215,,0.0,26,1,0.0,5,1,0.0,20,1
2021ABI,2021_05_21_ABI_S11,190,,0.0,12,1,0.0,4,1,0.0,18,1
2021ABI,2021_05_21_ABI_S12,267,,0.0,17,1,0.0,9,1,0.0,33,1
2021ABI,2021_05_21_ABI_S13,219,,0.0,18,1,0.0,2,1,0.0,13,1
2021ABI,2021_05_21_ABI_S14,189,,0.0,17,1,0.0,4,1,0.0,14,1
2021ABI,2021_05_21_ABI_S15,255,,0.0,13,1,0.0,6,1,0.0,12,1
2021ABI,2021_05_21_ABI_S16,235,,0.0,28,1,0.0,7,1,0.0,16,1
