n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,session_id,any_funded,funded_rate
3,0.8800746429806173,0.0,1.0,0.23721982213988246,0.2780719051126377,0,0.08170416594551044,2020_11_05_NES_S1,0.0,0.0
1,0.7219280948873623,0.0,1.0,0.0,0.0,0,0.0,2020_11_05_NES_S2,0.0,0.0
4,0.49273764861366715,0.5,0.5,0.3430164685151105,1.0,1,0.9854752972273343,2020_11_05_NES_S3,1.0,0.3333333333333333
3,0.612197222702993,0.3333333333333333,0.6666666666666666,0.4591479170272448,0.9182958340544896,1,-0.9182958340544896,2020_11_05_NES_S4,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,1,0.0,2020_11_05_NES_S5,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,1,0.0,2020_11_05_NES_S6,0.0,0.0
3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,1.0,1,1.0,2020_11_06_NES_S1,1.0,0.5
3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,1.0,1,-1.0,2020_11_06_NES_S10,,
3,0.5765246528378741,0.3333333333333333,0.6666666666666666,0.5126567718249231,0.9182958340544896,1,-0.8112781244591328,2020_11_06_NES_S11,1.0,0.3333333333333333
4,0.47231160712728953,0.5,0.5,0.9533990076546089,0.9709505944546686,3,0.4591479170272448,2020_11_06_NES_S12,1.0,0.5
5,0.7615084525127296,0.2,0.8,0.49273764861366715,0.9182958340544896,2,-0.011802677427423802,2020_11_06_NES_S2,0.0,0.0
1,1.0,0.0,1.0,0.0,0.0,0,0.0,2020_11_06_NES_S3,1.0,0.6666666666666666
3,0.6297488095030527,0.3333333333333333,0.6666666666666666,0.5118026774274238,0.9709505944546686,1,0.9182958340544896,2020_11_06_NES_S4,0.0,0.0
4,0.7223116071272895,0.25,0.75,0.6842182534667263,1.0,2,-0.43282053682715527,2020_11_06_NES_S7,0.0,0.0
6,0.4833727701530979,0.5,0.5,0.38727100943807835,1.0,2,-0.5318224764048041,2020_11_06_NES_S8,0.0,0.0
3,0.5558627998293342,0.3333333333333333,0.6666666666666666,0.8337941997440013,0.9456603046006402,2,-0.2237322097132779,2020_11_06_NES_S9,1.0,1.0
6,0.480319854862089,0.3333333333333333,0.6666666666666666,0.34242592043617204,0.9182958340544896,2,0.22682734124061343,2021_04_22_MND_S1,1.0,1.0
4,0.2028195311147832,0.75,0.25,0.5408520829727552,0.8112781244591328,2,0.4056390622295664,2021_04_22_MND_S3,0.0,0.0
8,0.43143775667512313,0.5,0.5,0.3265311098198425,1.0,2,0.4744355807510509,2021_04_22_MND_S4,1.0,1.0
6,0.6070287204320295,0.3333333333333333,0.6666666666666666,0.36950290765789384,0.9602297178607612,2,0.4956203657432713,2021_04_22_MND_S5,,
7,0.5849062317495012,0.2857142857142857,0.7142857142857143,0.3795540154000938,1.0,2,0.2610218325957918,2021_04_22_MND_S6,,
5,0.6425662029745779,0.2,0.8,0.6067229572172268,1.0,3,-0.386198560580681,2021_04_22_MND_S7,0.0,0.0
5,0.33857573786840617,0.6,0.4,0.6037016960573482,0.9709505944546686,3,0.4854752972273343,2021_04_22_MND_S8,0.0,0.0
6,0.2324043395069232,0.6666666666666666,0.3333333333333333,0.42385202570945985,0.72483409150576,3,-0.027621072984990336,2021_04_23_MND_S1,0.0,0.0
6,0.39659939669366273,0.5,0.5,0.2481614479352094,0.8112781244591328,1,0.7841591278514218,2021_04_23_MND_S10,,
4,0.4810418473746511,0.25,0.75,0.47363635157431955,0.7642045065086203,2,-0.18422306501362806,2021_04_23_MND_S11,1.0,0.3333333333333333
3,0.9001748509894303,0.0,1.0,0.13334508979544624,0.15967246999553575,0,-0.052654760400179024,2021_04_23_MND_S12,0.0,0.0
5,0.4766373149645748,0.2,0.6,0.3919681431593395,0.5916727785823275,3,0.3898217981947526,2021_04_23_MND_S13,,
6,0.39565024958268813,0.5,0.5,0.4003668129581214,0.9709505944546686,2,0.21600015429339592,2021_04_23_MND_S14,,
7,0.4027888850028781,0.42857142857142855,0.5714285714285714,0.4119585450302579,0.7896900821428474,3,-0.11484894030051696,2021_04_23_MND_S15,,
7,0.7298885032187332,0.14285714285714285,0.8571428571428571,0.5009073417817472,1.0,3,0.14557684618597666,2021_04_23_MND_S16,0.0,0.0
5,0.5232677076784045,0.2,0.6,0.40063468146112513,1.0,2,-0.4087479174926882,2021_04_23_MND_S2,1.0,0.5
4,0.6556390622295665,0.25,0.75,0.396240625180289,0.8112781244591328,1,0.9056390622295665,2021_04_23_MND_S3,0.0,0.0
6,0.7424188070271481,0.16666666666666666,0.8333333333333334,0.6164100751024888,1.0,4,-0.2638196387567776,2021_04_23_MND_S4,,
5,0.2976361538376769,0.6,0.4,0.5090188949265344,0.9402859586706308,3,-0.6663385534117541,2021_04_23_MND_S5,1.0,0.5
6,0.5157125062404869,0.3333333333333333,0.6666666666666666,0.5296485750980687,0.8649735207179271,3,0.5229779797801697,2021_04_23_MND_S6,0.0,0.0
6,0.3777420691567696,0.3333333333333333,0.5,0.47053149388843546,0.7219280948873623,3,0.12223973837827362,2021_04_23_MND_S7,0.0,0.0
5,0.7654327679808838,0.2,0.8,0.5090345422176188,1.0,2,-0.018069084435237692,2021_04_23_MND_S8,,
5,0.3136636511405687,0.6,0.4,0.3920795639257109,0.9182958340544896,2,-0.19087450462110933,2021_04_23_MND_S9,0.0,0.0
4,0.3410449160741469,0.5,0.5,0.31778033094873087,0.7725068857142601,1,-0.5916727785823275,2021_05_20_ABI_S1,,
5,0.5353816703072074,0.2,0.6,0.5319293689301097,0.9366673818775626,3,-0.04145367732585015,2021_05_20_ABI_S2,0.0,0.0
6,0.5911822482833821,0.3333333333333333,0.6666666666666666,0.5635039062373342,0.9182958340544896,3,-0.00312070336376874,2021_05_20_ABI_S3,1.0,1.0
6,0.5719976583914885,0.3333333333333333,0.6666666666666666,0.6863971900697863,0.8453509366224365,4,-0.4650029763224627,2021_05_20_ABI_S4,1.0,1.0
4,0.6944931097114942,0.0,1.0,0.10172798305405384,0.12778286510391368,0,-0.14187196930444057,2021_05_20_ABI_S5,0.0,0.0
7,0.46565801766008796,0.42857142857142855,0.5714285714285714,0.6565229280529296,1.0,4,-0.5281963160708392,2021_05_20_ABI_S6,1.0,0.5
6,0.6142921148337571,0.3333333333333333,0.6666666666666666,0.40176669817781985,0.9852281360342516,2,0.45200914623745325,2021_05_20_ABI_S7,1.0,1.0
6,0.6543628361761948,0.16666666666666666,0.8333333333333334,0.557667640248037,0.9910760598382222,4,-0.027604290565523604,2021_05_20_ABI_S8,0.0,0.0
7,0.5295131215222383,0.42857142857142855,0.5714285714285714,0.5032077076604115,1.0,3,0.5785470854003333,2021_05_21_ABI_S1,,
7,0.6377876296243333,0.14285714285714285,0.8571428571428571,0.3813122968664324,0.8112781244591328,3,0.19693606412048892,2021_05_21_ABI_S10,,
6,0.4142503146295163,0.5,0.5,0.20579924488916088,0.8112781244591328,1,0.8371118816589824,2021_05_21_ABI_S11,1.0,0.5
6,0.5463750334214489,0.3333333333333333,0.6666666666666666,0.4340207232984804,0.9544340029249648,3,0.3096910973393819,2021_05_21_ABI_S12,1.0,0.3333333333333333
5,0.4358527845502559,0.4,0.6,0.7948159806878199,1.0,4,-0.19420710042977152,2021_05_21_ABI_S13,1.0,0.5
7,0.4151211388212224,0.5714285714285714,0.42857142857142855,0.3308713560057086,0.9852281360342516,2,0.14759254388764254,2021_05_21_ABI_S14,0.0,0.0
6,0.39348497755768447,0.5,0.5,0.4174257772798386,0.8173454221465102,3,-0.6368904894734568,2021_05_21_ABI_S15,1.0,0.5
7,0.6463588948467989,0.14285714285714285,0.8571428571428571,0.43072508324291015,0.9182958340544896,3,0.09203605101798007,2021_05_21_ABI_S16,,
7,0.3710356007992873,0.5714285714285714,0.42857142857142855,0.3125535184512748,0.9940302114769564,2,0.037391225634206826,2021_05_21_ABI_S2,1.0,0.3333333333333333
8,0.5553824809658412,0.375,0.625,0.29469012057030647,1.0,2,0.5765307051502342,2021_05_21_ABI_S3,0.0,0.0
7,0.41990783211289656,0.42857142857142855,0.5714285714285714,0.2733706548236419,0.8112781244591328,2,-0.02836578030045256,2021_05_21_ABI_S4,0.0,0.0
7,0.34738442686371734,0.42857142857142855,0.5714285714285714,0.43656134112596323,0.7793498372920852,4,-0.5291794434074459,2021_05_21_ABI_S5,,
6,0.5157049444556302,0.3333333333333333,0.6666666666666666,0.7924321911123767,1.0,5,-0.3301976466781911,2021_05_21_ABI_S6,,
6,0.41722408291808044,0.5,0.5,0.38452177526007786,0.9182958340544896,2,0.3333764146997519,2021_05_21_ABI_S7,1.0,0.3333333333333333
6,0.599109655311136,0.3333333333333333,0.6666666666666666,0.6373879821925135,1.0,3,0.38374704598119874,2021_05_21_ABI_S8,0.0,0.0
6,0.5765701046707943,0.3333333333333333,0.6666666666666666,0.3937687637333082,1.0,3,-0.2197417013755657,2021_05_21_ABI_S9,0.0,0.0
7,0.5086346936603403,0.42857142857142855,0.5714285714285714,0.3236379133290689,0.9182958340544896,2,-0.27289853258287355,2021_06_10_SLU_S1,1.0,0.3333333333333333
6,0.6931034704683778,0.16666666666666666,0.8333333333333334,0.4952840982950585,1.0,3,0.1103148178158524,2021_06_10_SLU_S2,1.0,0.5
8,0.5791877748366636,0.375,0.625,0.3957428842740593,1.0,3,0.31194390309081593,2021_06_10_SLU_S3,0.0,0.0
7,0.6318457051760332,0.2857142857142857,0.7142857142857143,0.4965793707376094,0.9852281360342516,3,-0.2195509308125988,2021_06_10_SLU_S4,1.0,1.0
6,0.718693207468962,0.16666666666666666,0.8333333333333334,0.44728420001649616,0.9182958340544896,2,0.05266355187983851,2021_06_10_SLU_S5,1.0,0.5
6,0.5289092702498506,0.3333333333333333,0.6666666666666666,0.35532232868919184,1.0,2,-0.3931409459016012,2021_06_10_SLU_S6,0.0,0.0
8,0.5597808231298033,0.375,0.625,0.7673184107775813,1.0,6,0.2408877934679851,2021_06_10_SLU_S7,,
7,0.5132515468588268,0.2857142857142857,0.7142857142857143,0.5757988911914931,1.0,4,-0.3480741799535361,2021_06_11_SLU_S1,1.0,0.3333333333333333
5,0.5697986854818018,0.4,0.6,0.7311819512078688,0.9940302114769564,3,-0.4396522761390844,2021_06_11_SLU_S10,0.0,0.0
6,0.7322095436037056,0.16666666666666666,0.8333333333333334,0.24596978594624258,0.8112781244591328,1,-0.42620258932473926,2021_06_11_SLU_S11,1.0,0.5
7,0.6360939956614199,0.2857142857142857,0.7142857142857143,0.4052893482150071,1.0,3,-0.392162383080763,2021_06_11_SLU_S12,0.0,0.0
7,0.4710674641313271,0.42857142857142855,0.42857142857142855,0.950421291846785,1.0,6,-0.3154027911263115,2021_06_11_SLU_S13,0.0,0.0
5,0.6006211074627121,0.2,0.8,0.44157932483937506,0.8649735207179271,2,-0.013826134033226634,2021_06_11_SLU_S2,,
5,0.4776156200517094,0.4,0.6,0.4414280318460244,0.9544340029249648,2,-0.3340611229966504,2021_06_11_SLU_S3,1.0,1.0
7,0.34122881503162156,0.5714285714285714,0.42857142857142855,0.38082847944825815,0.9456603046006402,3,-0.42905432423193424,2021_06_11_SLU_S4,1.0,0.5
5,0.6483390400461364,0.2,0.8,0.48541258923349334,1.0,3,0.23333843224184958,2021_06_11_SLU_S5,,
6,0.5687717047780596,0.3333333333333333,0.6666666666666666,0.864881878634311,1.0,5,0.2560911374687117,2021_06_11_SLU_S6,0.0,0.0
7,0.6470229559712578,0.2857142857142857,0.7142857142857143,0.3492210530702344,1.0,2,0.3702882859147717,2021_06_11_SLU_S7,1.0,1.0
3,0.9555547486791099,0.0,1.0,0.029560991736841014,0.052654760400179024,0,-0.05912198347368203,2021_06_11_SLU_S8,1.0,1.0
8,0.41430794909522395,0.5,0.5,0.5052210238130194,0.9182958340544896,4,-0.4328373509749097,2021_06_11_SLU_S9,0.0,0.0
