target,predictor,coef,n,r2
funded_rate,intercept,0.25637666457747027,117,0.1297672414968991
funded_rate,entropy_end,-0.22986768964523444,117,0.1297672414968991
funded_rate,entropy_change,-0.017937008223749107,117,0.1297672414968991
funded_rate,strict_conv_rate_last_third,0.9021203062570842,117,0.1297672414968991
funded_rate,structural_wrap_rate_last_third,0.6543809482823234,117,0.1297672414968991
funded_rate,time_pressure_total,0.10502385767428225,117,0.1297672414968991
funded_rate,decision_closure_total,0.03279645934079389,117,0.1297672414968991
any_funded,intercept,0.5376112021356565,117,0.1975959453685031
any_funded,entropy_end,-0.5916740561359591,117,0.1975959453685031
any_funded,entropy_change,0.1743552069869602,117,0.1975959453685031
any_funded,strict_conv_rate_last_third,0.7781323606580473,117,0.1975959453685031
any_funded,structural_wrap_rate_last_third,1.1640452344832621,117,0.1975959453685031
any_funded,time_pressure_total,0.141851545250176,117,0.1975959453685031
any_funded,decision_closure_total,0.052497502110296995,117,0.1975959453685031
