session_id,entropy_index_beginning,entropy_time_beginning,n_cdp_index_beginning,n_cdp_time_beginning,entropy_diff_beginning,entropy_index_middle,entropy_time_middle,n_cdp_index_middle,n_cdp_time_middle,entropy_diff_middle,entropy_index_end,entropy_time_end,n_cdp_index_end,n_cdp_time_end,entropy_diff_end,conference
2020_11_05_NES_S1,0.9182958340544896,0.9182958340544896,3,3,0.0,0.8112781244591328,0.7219280948873623,4,5,-0.08935002957177052,0.9182958340544896,1.0,3,2,0.08170416594551044,2020NES
2020_11_05_NES_S2,0.7219280948873623,0.7219280948873623,5,5,0.0,,,0,0,,,,0,0,,2020NES
2020_11_05_NES_S3,0.0,0.0,1,1,0.0,0.0,0.0,1,1,0.0,0.9910760598382222,0.9910760598382222,9,9,0.0,2020NES
2020_11_05_NES_S4,0.9709505944546686,0.9182958340544896,5,6,-0.052654760400179024,1.0,,2,0,,0.0,0.8112781244591328,3,4,0.8112781244591328,2020NES
2020_11_05_NES_S5,1.0,1.0,2,2,0.0,,,0,0,,0.0,0.0,5,5,0.0,2020NES
2020_11_05_NES_S6,0.0,0.0,2,2,0.0,1.0,1.0,2,2,0.0,,,0,0,,2020NES
2020_11_06_NES_S1,,,0,0,,0.0,0.0,1,1,0.0,0.9182958340544896,0.9182958340544896,3,3,0.0,2020NES
2020_11_06_NES_S10,,,0,0,,0.9182958340544896,0.8112781244591328,3,4,-0.10701770959535672,0.0,0.0,2,1,0.0,2020NES
2020_11_06_NES_S11,0.8112781244591328,0.8112781244591328,4,4,0.0,1.0,0.0,2,1,-1.0,0.0,0.0,2,3,0.0,2020NES
2020_11_06_NES_S12,0.0,0.0,1,1,0.0,0.9182958340544896,0.9182958340544896,6,6,0.0,0.9182958340544896,0.9182958340544896,3,3,0.0,2020NES
2020_11_06_NES_S2,0.9544340029249649,0.9544340029249649,8,8,0.0,1.0,0.0,2,1,-1.0,0.9456603046006402,0.9798687566511527,11,12,0.03420845205051248,2020NES
2020_11_06_NES_S3,,,0,0,,,,0,0,,1.0,1.0,2,2,0.0,2020NES
2020_11_06_NES_S4,0.0,0.0,1,1,0.0,0.9709505944546686,0.9709505944546686,5,5,0.0,0.9182958340544896,0.9182958340544896,3,3,0.0,2020NES
