group,n,mean_entropy_end,median_entropy_end,std_entropy_end
any_funded=1,67,0.7169055850547975,0.7534397398762206,0.23965317777103867
any_funded=0,53,0.7726617724630721,0.8112781244591328,0.19722840666759525
