conference,session_id,n_utterances,outcome,entropy_beginning,n_cdp_beginning,n_unique_cdp_beginning,entropy_middle,n_cdp_middle,n_unique_cdp_middle,entropy_end,n_cdp_end,n_unique_cdp_end
2021CMC,2021_10_08_CMC_S3,169,,0.8112781244591328,24,2,0.8112781244591328,4,2,0.0,2,1
2021CMC,2021_10_08_CMC_S4,151,,0.8453509366224365,11,2,0.5916727785823275,7,2,0.6398243839286435,16,3
2021CMC,2021_10_08_CMC_S5,195,,0.8708644692353646,24,2,0.8080141510844467,12,3,0.7871265862012691,17,2
2021CMC,2021_10_08_CMC_S6,167,,0.7487368590694102,26,3,0.8112781244591328,4,2,0.9544340029249649,8,2
2021CMC,2021_10_08_CMC_S7,151,,0.8739810481273578,17,2,0.8112781244591328,8,2,0.8112781244591328,4,2
2021CMC,2021_10_08_CMC_S8,173,,0.9975025463691153,17,2,0.9182958340544896,3,2,0.74959525725948,14,2
2021CMC,2021_10_08_CMC_S9,184,,0.8112781244591328,16,2,,0,0,0.9798687566511527,12,2
2021MND,2021_04_22_MND_S1,199,,0.934068055375491,20,2,0.5916727785823275,14,2,0.672294817075638,17,2
2021MND,2021_04_22_MND_S2,1,,,0,0,,0,0,,0,0
2021MND,2021_04_22_MND_S3,163,,,0,0,0.0,1,1,0.9456603046006402,11,2
2021MND,2021_04_22_MND_S4,240,,0.6840384356390417,11,2,0.9602297178607611,5,3,0.9494520153879484,19,2
2021MND,2021_04_22_MND_S5,222,,0.961236604722876,13,2,0.0,1,1,0.8508642289005679,11,3
2021MND,2021_04_22_MND_S6,228,,0.8112781244591328,4,2,0.8739810481273578,17,2,0.9456603046006402,22,2
2021MND,2021_04_22_MND_S7,187,,0.8112781244591328,4,2,0.9544340029249649,8,2,0.6500224216483541,18,2
2021MND,2021_04_22_MND_S8,201,,0.0,2,1,0.7896900821428474,6,3,0.7642045065086203,9,2
2021MND,2021_04_23_MND_S1,153,,0.7298466991620974,10,3,0.9182958340544896,3,2,0.42181719939455997,16,3
2021MND,2021_04_23_MND_S10,223,,0.0,21,1,0.0,1,1,0.6254181156238111,13,3
2021MND,2021_04_23_MND_S11,214,,0.7219280948873623,10,2,0.0,3,1,0.5407040970774404,21,3
2021MND,2021_04_23_MND_S12,193,,0.9182958340544896,12,2,0.0,1,1,0.9182958340544896,3,2
2021MND,2021_04_23_MND_S13,209,,0.3372900666170139,16,2,0.5032583347756457,9,2,0.8739810481273578,17,2
2021MND,2021_04_23_MND_S14,204,,0.9182958340544896,6,2,0.0,3,1,0.7219280948873623,30,2
2021MND,2021_04_23_MND_S15,213,,0.5578578164321781,20,3,0.8699155297736259,7,3,0.7160863263878677,18,3
2021MND,2021_04_23_MND_S16,186,,0.6500224216483541,12,2,0.9182958340544896,3,2,0.8812908992306927,10,2
2021MND,2021_04_23_MND_S2,218,,0.863120568566631,14,2,0.0,5,1,0.4537163391869448,21,2
2021MND,2021_04_23_MND_S3,134,,0.6193821946787638,13,2,0.0,1,1,0.8112781244591328,4,2
2021MND,2021_04_23_MND_S4,182,,0.9957274520849256,13,2,0.9182958340544896,6,2,0.5478948105177535,16,3
2021MND,2021_04_23_MND_S5,176,,0.9182958340544896,15,2,0.5032583347756457,9,2,0.46343678232466695,14,3
2021MND,2021_04_23_MND_S6,259,,0.5970948432879916,14,3,0.9463946303571861,4,3,0.8112781244591328,16,2
2021MND,2021_04_23_MND_S7,202,,0.5032583347756457,9,2,0.7642045065086203,9,2,0.3095434291503252,18,2
2021MND,2021_04_23_MND_S8,175,,0.9544340029249649,8,2,0.9456603046006402,11,2,0.9182958340544896,9,2
2021MND,2021_04_23_MND_S9,180,,0.6500224216483541,6,2,0.0,2,1,0.8112781244591328,4,2
2021MZT,2021_09_30_MZT_S2,145,,0.9709505944546686,5,2,0.0,3,1,1.0,2,2
2021MZT,2021_09_30_MZT_S3,123,,0.5916727785823275,7,2,0.6500224216483541,12,2,0.7642045065086203,9,2
2021MZT,2021_09_30_MZT_S4,147,,0.8420887815606471,13,3,0.5916727785823275,7,2,0.0,4,1
2021MZT,2021_09_30_MZT_S5,130,,0.9709505944546686,5,2,,0,0,0.5916727785823275,14,2
2021MZT,2021_09_30_MZT_S6,39,,0.9182958340544896,3,2,0.863120568566631,7,2,,0,0
2021MZT,2021_09_30_MZT_S7,425,,0.7413390912646509,27,3,0.6632110916865271,39,3,0.74959525725948,14,2
2021MZT,2021_10_01_MZT_S1,201,,0.74959525725948,14,2,0.8112781244591328,4,2,0.6695919455357793,8,3
2021MZT,2021_10_01_MZT_S11,132,,0.7793498372920852,13,2,0.0,2,1,0.6962122601251458,16,2
2021MZT,2021_10_01_MZT_S2,181,,0.8112781244591328,16,2,0.9182958340544896,3,2,0.8342022886441014,11,3
2021MZT,2021_10_01_MZT_S3,249,,0.934068055375491,20,2,0.8112781244591328,4,2,0.9852281360342516,21,2
2021MZT,2021_10_01_MZT_S4,220,,0.6500224216483541,12,2,0.7732967821474692,13,4,0.6803454839201113,25,3
2021MZT,2021_10_01_MZT_S5,243,,0.7365705641335477,19,3,0.7642045065086203,9,2,0.7642045065086203,18,2
2021MZT,2021_10_01_MZT_S7,184,,0.6962122601251458,16,2,0.0,1,1,0.6840384356390417,11,2
2021MZT,2021_10_01_MZT_S8,180,,0.7793498372920852,13,2,0.0,1,1,0.595905918112551,18,3
2021MZT,2021_10_01_MZT_S9,197,,0.863120568566631,21,2,1.0,8,2,0.9798687566511527,12,2
2021NES,2021_11_04_NES_S1,115,,0.0,1,1,0.9544340029249649,8,2,0.9587118829771318,21,2
2021NES,2021_11_04_NES_S2,174,,1.0,2,2,0.0,2,1,0.7559752426306121,16,3
2021NES,2021_11_04_NES_S3,244,,0.6421728598552153,39,3,0.863120568566631,7,2,0.6583346267480237,24,3
2021NES,2021_11_04_NES_S4,219,,0.6962122601251458,16,2,0.9544340029249649,8,2,0.6193821946787638,13,2
2021NES,2021_11_04_NES_S5,187,,0.9640787648082292,18,2,1.0,2,2,0.4394969869215134,11,2
2021NES,2021_11_04_NES_S6,172,,0.5032583347756457,9,2,0.7793498372920852,13,2,0.7315975941709251,17,3
2021NES,2021_11_05_NES_S1,382,,0.8224042259549891,35,2,0.0,4,1,0.4266330975838712,49,3
2021NES,2021_11_05_NES_S10,276,,0.5246455665662212,22,3,0.5435644431995964,8,2,0.8997437586982626,19,2
2021NES,2021_11_05_NES_S11,148,,0.9975025463691153,17,2,1.0,2,2,0.7732266742876346,22,2
2021NES,2021_11_05_NES_S12,255,,0.8865408928220899,23,2,0.9544340029249649,8,2,0.8904916402194913,13,2
2021NES,2021_11_05_NES_S2,163,,0.9798687566511527,12,2,0.7725068857142601,9,3,0.7382848661434506,24,2
2021NES,2021_11_05_NES_S3,315,,0.5465830980043143,25,3,0.672294817075638,17,2,0.783776947484701,30,2
2021NES,2021_11_05_NES_S4,225,,0.9182958340544896,24,2,0.961236604722876,13,2,0.8904916402194913,39,2
2021NES,2021_11_05_NES_S5,299,,0.7751453926953418,21,3,0.8175195311866703,13,3,0.8960382325345575,32,2
2021NES,2021_11_05_NES_S6,339,,0.9081783472997051,34,2,0.5032583347756457,9,2,0.7871265862012691,34,2
2021NES,2021_11_05_NES_S7,347,,0.6254181156238111,13,3,0.8080141510844467,12,3,0.4953754914506918,39,3
2021NES,2021_11_05_NES_S8,148,,0.9182958340544896,24,2,0.9544340029249649,8,2,0.8453509366224365,11,2
2021NES,2021_11_05_NES_S9,266,,0.9819407868640977,19,2,0.7298466991620974,10,3,0.9456603046006402,22,2
2021SLU,2021_06_10_SLU_S1,213,,0.7282023343901066,27,3,0.9182958340544896,3,2,0.8997437586982626,19,2
2021SLU,2021_06_10_SLU_S2,190,,0.6500224216483541,12,2,1.0,2,2,0.7534397398762206,18,3
2021SLU,2021_06_10_SLU_S3,178,,0.7038148177476575,21,3,0.9940302114769565,11,2,0.8739810481273578,17,2
2021SLU,2021_06_10_SLU_S4,308,,0.840978105283863,28,3,1.0,2,2,0.8904916402194913,13,2
2021SLU,2021_06_10_SLU_S5,202,,0.6051854972393866,28,3,0.9182958340544896,3,2,0.8524051786494786,18,2
2021SLU,2021_06_10_SLU_S6,249,,0.9798687566511527,12,2,0.8112781244591328,4,2,0.5916727785823275,14,2
2021SLU,2021_06_10_SLU_S7,205,,0.754857573379366,24,3,0.6500224216483541,6,2,0.9544340029249649,16,2
2021SLU,2021_06_11_SLU_S1,269,,0.7732266742876346,22,2,0.9182958340544896,3,2,0.7777220320701351,18,3
2021SLU,2021_06_11_SLU_S10,246,,0.9182958340544896,18,2,0.0,1,1,0.9774178175281716,17,2
2021SLU,2021_06_11_SLU_S11,201,,0.8453509366224365,22,2,0.9709505944546686,5,2,0.6840384356390417,11,2
2021SLU,2021_06_11_SLU_S12,257,,0.801230770703707,29,3,0.8112781244591328,4,2,0.9456603046006402,11,2
2021SLU,2021_06_11_SLU_S13,257,,0.5586293734521992,23,2,0.9182958340544896,3,2,0.7793498372920852,13,2
2021SLU,2021_06_11_SLU_S2,247,,0.7455574250275929,11,4,,0,0,0.7079749057776119,18,3
2021SLU,2021_06_11_SLU_S3,229,,0.7816596645276667,13,3,0.0,4,1,0.74959525725948,14,2
2021SLU,2021_06_11_SLU_S4,209,,0.5931648710702542,29,3,0.9544340029249649,8,2,0.9852281360342516,7,2
2021SLU,2021_06_11_SLU_S5,180,,0.8112781244591328,8,2,1.0,2,2,0.6695919455357793,8,3
2021SLU,2021_06_11_SLU_S6,253,,0.9819407868640977,19,2,0.8112781244591328,4,2,0.6840384356390417,11,2
2021SLU,2021_06_11_SLU_S7,199,,0.9709505944546686,10,2,0.863120568566631,7,2,0.8453509366224365,22,2
2021SLU,2021_06_11_SLU_S8,262,,0.9774178175281716,17,2,0.9709505944546686,5,2,0.9182958340544896,9,2
2021SLU,2021_06_11_SLU_S9,260,,0.6307404425754963,29,3,0.9182958340544896,6,2,0.9709505944546686,5,2
2022MND,2022_04_07_MND_S1,283,,0.41381685030363374,12,2,0.8112781244591328,8,2,0.6193821946787638,13,2
2022MND,2022_04_07_MND_S2,271,,0.9182958340544896,24,2,0.0,3,1,0.8997437586982626,19,2
2022MND,2022_04_07_MND_S3,141,,0.7219280948873623,5,2,0.0,1,1,0.7219280948873623,10,2
2022MND,2022_04_07_MND_S4,257,,0.5264143616682583,17,3,0.6500224216483541,6,2,0.35335933502142136,15,2
2022MND,2022_04_07_MND_S5,258,,0.9182958340544896,9,2,0.6254181156238111,13,3,0.6567045482143385,12,3
2022MND,2022_04_07_MND_S6,234,,0.4394969869215134,11,2,0.9182958340544896,3,2,0.9456603046006402,11,2
2022MND,2022_04_08_MND_S1,230,,0.9182958340544896,12,2,0.8112781244591328,4,2,0.4560725552838438,21,3
2022MND,2022_04_08_MND_S10,197,,0.6500224216483541,6,2,,0,0,0.863120568566631,7,2
2022MND,2022_04_08_MND_S11,211,,0.9182958340544896,21,2,1.0,4,2,0.4537163391869448,21,2
2022MND,2022_04_08_MND_S12,12,,,0,0,,0,0,0.9182958340544896,3,2
2022MND,2022_04_08_MND_S2,312,,0.7553754125614288,23,2,0.46343678232466695,14,3,0.5916727785823275,14,2
2022MND,2022_04_08_MND_S3,281,,0.0,6,1,0.6386009056011303,17,4,0.7219280948873623,5,2
2022MND,2022_04_08_MND_S4,216,,0.7642045065086203,9,2,0.0,1,1,0.9852281360342516,7,2
2022MND,2022_04_08_MND_S5,255,,1.0,22,2,0.0,1,1,0.8904916402194913,13,2
2022MND,2022_04_08_MND_S6,6,,,0,0,0.0,1,1,0.0,1,1
2022MND,2022_04_08_MND_S7,259,,0.37270529641671113,19,3,0.9182958340544896,3,2,0.8453509366224365,22,2
2022MND,2022_04_08_MND_S8,365,,0.9182958340544896,6,2,0.0,4,1,0.6452075543900085,22,3
2022MND,2022_04_08_MND_S9,273,,0.7871265862012691,17,2,0.0,3,1,0.6840384356390417,22,2
