model,n_features,n,cv_auc_mean,cv_auc_std
baseline_full,12,111,0.7300000000000001,0.12071545974821211
baseline_full_plus_fuzzy,17,111,0.7083333333333334,0.10865337342004414
fuzzy_only,5,123,0.5211788211788212,0.05227897363892521
baseline_entropy,3,111,0.5056060606060606,0.07063531712756489
