conference,session_id,n_meetings,similarity_method,n_chunks_sum,n_moves_sum,funded_rate,any_funded,n_teams,num_funded_teams,outcome_source,n_moves,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2020NES,2020_11_05_NES_S1,2,lsa,8.0,150.0,0.0,0.0,1.0,0.0,chunk_registry_v1,108.33333333333333,0.7799785795234094,0.2059612074305313,0.7799785795234094,0.7799785795234094,0.685880578075885,0.8256541501034277,11.012192661016242,10.76207511038226,10.470595243937233,32.24486301533573
2020NES,2020_11_05_NES_S2,1,lsa,8.0,141.0,0.0,0.0,3.0,0.0,chunk_registry_v1,141.0,1.2010927188025764,0.1680099934039318,1.2010927188025764,1.2010927188025764,0.7913886635956311,1.5252589094154168,16.087596606265137,16.850499499710992,16.235113392103216,49.173209498079345
2020NES,2020_11_05_NES_S3,1,lsa,6.0,126.0,0.3333333333333333,1.0,3.0,1.0,chunk_registry_v1,126.0,0.7965304064514611,0.1647993944382333,0.796530406451461,0.7965304064514612,0.8063114361172253,0.946798398040004,12.256982960418958,11.674578142348103,11.15078960130195,35.082350704069015
2020NES,2020_11_05_NES_S4,2,lsa,8.0,136.0,1.0,1.0,1.0,1.0,chunk_registry_v1,87.05882352941177,0.5575881659502936,0.18293060881559242,0.5575881659502936,0.5575881659502936,0.7404376579659032,0.7711964842350273,8.065908364455446,7.632680476635748,7.975514326635869,23.674103167727065
2020NES,2020_11_05_NES_S5,2,lsa,8.0,144.0,1.0,1.0,1.0,1.0,chunk_registry_v1,104.0,0.6527961623982399,0.14639914040818464,0.6527961623982399,0.65279616239824,0.8651392655294954,1.057924265515005,10.156939654384766,9.837654355632656,9.000964127641527,28.995558137658943
2020NES,2020_11_05_NES_S6,3,lsa,8.0,118.0,0.0,0.0,2.0,0.0,chunk_registry_v1,45.67796610169491,0.09409601928318648,0.14133461657301238,0.09409601928318648,0.09409601928318648,0.4589256038389158,0.10536060048029305,1.302160917090535,1.3728498964505638,1.3059899220619153,3.981000735603015
2020NES,2020_11_06_NES_S1,2,lsa,7.0,93.0,0.5,1.0,2.0,1.0,chunk_registry_v1,46.505376344086024,0.12519337720077062,0.18269778131739553,0.12519337720077053,0.12519337720077062,0.644775191287897,0.11186786572273795,1.8476659537365323,1.6279003214906902,1.3908078904701533,4.866374165697376
2020NES,2020_11_06_NES_S10,2,lsa,6.0,130.0,,0.0,0.0,0.0,chunk_registry_v1,75.4,0.38503549692059275,0.20086498810758383,0.38503549692059275,0.38503549692059275,0.5577369210176681,0.399338463981457,5.830811879280957,6.078886794008062,5.423404551100533,17.33310322438955
2020NES,2020_11_06_NES_S11,1,lsa,7.0,154.0,0.3333333333333333,1.0,3.0,1.0,chunk_registry_v1,154.0,1.2255144205695754,0.1600756749514119,1.2255144205695754,1.2255144205695754,0.7937597735840474,1.2973227069967164,16.982223401610987,18.163329129710583,16.33892384724501,51.48447637856658
2020NES,2020_11_06_NES_S12,3,lsa,8.0,161.0,0.5,1.0,2.0,1.0,chunk_registry_v1,54.27950310559006,0.2006878127954297,0.19660881709532219,0.2006878127954297,0.2006878127954297,0.45775119969278627,0.3284962929209329,3.0134966704896335,2.54770386213954,2.3020335257595677,7.863234058388741
