session_id,bin_sec,bin_min,n_cdp,entropy,conference
2020_11_05_NES_S1,0,0.0,1,0.0,2020NES
2020_11_05_NES_S1,360,6.0,1,0.0,2020NES
2020_11_05_NES_S1,540,9.0,1,0.0,2020NES
2020_11_05_NES_S1,1800,30.0,4,0.8112781244591328,2020NES
2020_11_05_NES_S1,1980,33.0,1,0.0,2020NES
2020_11_05_NES_S1,2340,39.0,2,1.0,2020NES
2020_11_05_NES_S2,0,0.0,5,0.7219280948873623,2020NES
2020_11_05_NES_S3,180,3.0,1,0.0,2020NES
2020_11_05_NES_S3,1260,21.0,1,0.0,2020NES
2020_11_05_NES_S3,2700,45.0,4,1.0,2020NES
2020_11_05_NES_S3,2880,48.0,5,0.9709505944546686,2020NES
2020_11_05_NES_S4,0,0.0,4,1.0,2020NES
2020_11_05_NES_S4,180,3.0,1,0.0,2020NES
2020_11_05_NES_S4,360,6.0,1,0.0,2020NES
2020_11_05_NES_S4,1980,33.0,3,0.9182958340544896,2020NES
2020_11_05_NES_S4,2700,45.0,1,0.0,2020NES
2020_11_05_NES_S5,0,0.0,2,1.0,2020NES
2020_11_05_NES_S5,2880,48.0,5,0.0,2020NES
2020_11_05_NES_S6,0,0.0,2,0.0,2020NES
2020_11_05_NES_S6,540,9.0,2,1.0,2020NES
2020_11_06_NES_S1,1620,27.0,1,0.0,2020NES
2020_11_06_NES_S1,2340,39.0,1,0.0,2020NES
2020_11_06_NES_S1,2700,45.0,2,1.0,2020NES
2020_11_06_NES_S10,900,15.0,2,1.0,2020NES
2020_11_06_NES_S10,1080,18.0,1,0.0,2020NES
2020_11_06_NES_S10,1440,24.0,1,0.0,2020NES
2020_11_06_NES_S10,2520,42.0,1,0.0,2020NES
2020_11_06_NES_S11,0,0.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S11,360,6.0,1,0.0,2020NES
2020_11_06_NES_S11,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S11,1980,33.0,1,0.0,2020NES
2020_11_06_NES_S11,2340,39.0,1,0.0,2020NES
2020_11_06_NES_S11,2700,45.0,1,0.0,2020NES
2020_11_06_NES_S12,180,3.0,1,0.0,2020NES
2020_11_06_NES_S12,1260,21.0,1,0.0,2020NES
2020_11_06_NES_S12,1440,24.0,4,0.8112781244591328,2020NES
2020_11_06_NES_S12,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S12,2520,42.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,0,0.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,180,3.0,2,1.0,2020NES
2020_11_06_NES_S2,540,9.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,1440,24.0,1,0.0,2020NES
2020_11_06_NES_S2,3060,51.0,1,0.0,2020NES
2020_11_06_NES_S2,3240,54.0,5,0.7219280948873623,2020NES
2020_11_06_NES_S2,3600,60.0,1,0.0,2020NES
2020_11_06_NES_S2,3780,63.0,4,0.8112781244591328,2020NES
2020_11_06_NES_S2,3960,66.0,1,0.0,2020NES
2020_11_06_NES_S3,1800,30.0,2,1.0,2020NES
2020_11_06_NES_S4,540,9.0,1,0.0,2020NES
2020_11_06_NES_S4,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S4,1980,33.0,2,1.0,2020NES
2020_11_06_NES_S4,2160,36.0,2,0.0,2020NES
2020_11_06_NES_S4,2700,45.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S7,0,0.0,9,0.9182958340544896,2020NES
2020_11_06_NES_S7,1080,18.0,2,1.0,2020NES
2020_11_06_NES_S7,2340,39.0,1,0.0,2020NES
2020_11_06_NES_S7,2880,48.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S7,3240,54.0,2,1.0,2020NES
2020_11_06_NES_S8,0,0.0,11,0.9940302114769565,2020NES
2020_11_06_NES_S8,180,3.0,6,0.9182958340544896,2020NES
2020_11_06_NES_S8,360,6.0,2,0.0,2020NES
2020_11_06_NES_S8,540,9.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S8,720,12.0,1,0.0,2020NES
2020_11_06_NES_S8,1080,18.0,1,0.0,2020NES
2020_11_06_NES_S8,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S8,2880,48.0,2,0.0,2020NES
2020_11_06_NES_S8,3960,66.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S9,0,0.0,10,0.9709505944546686,2020NES
2020_11_06_NES_S9,180,3.0,1,0.0,2020NES
2020_11_06_NES_S9,540,9.0,4,0.0,2020NES
2020_11_06_NES_S9,3240,54.0,1,0.0,2020NES
2020_11_06_NES_S9,3420,57.0,9,0.7642045065086203,2020NES
2021_05_20_ABI_S1,0,0.0,14,0.5916727785823275,2021ABI
2021_05_20_ABI_S1,3240,54.0,1,0.0,2021ABI
2021_05_20_ABI_S1,3420,57.0,8,0.8194483718728034,2021ABI
2021_05_20_ABI_S1,3600,60.0,4,0.0,2021ABI
2021_05_20_ABI_S1,3780,63.0,2,0.0,2021ABI
2021_05_20_ABI_S1,4140,69.0,1,0.0,2021ABI
2021_05_20_ABI_S2,0,0.0,12,0.41381685030363374,2021ABI
2021_05_20_ABI_S2,180,3.0,2,0.0,2021ABI
2021_05_20_ABI_S2,360,6.0,2,0.0,2021ABI
2021_05_20_ABI_S2,540,9.0,3,0.0,2021ABI
2021_05_20_ABI_S2,720,12.0,5,0.9709505944546686,2021ABI
2021_05_20_ABI_S2,1260,21.0,12,0.9182958340544896,2021ABI
2021_05_20_ABI_S2,1440,24.0,2,1.0,2021ABI
2021_05_20_ABI_S2,1620,27.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S2,2160,36.0,1,0.0,2021ABI
2021_05_20_ABI_S2,2340,39.0,1,0.0,2021ABI
2021_05_20_ABI_S2,2700,45.0,6,0.6500224216483541,2021ABI
2021_05_20_ABI_S3,0,0.0,8,0.6695919455357793,2021ABI
2021_05_20_ABI_S3,180,3.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S3,360,6.0,1,0.0,2021ABI
2021_05_20_ABI_S3,720,12.0,2,0.0,2021ABI
2021_05_20_ABI_S3,1800,30.0,2,1.0,2021ABI
2021_05_20_ABI_S3,2160,36.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3060,51.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3240,54.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3420,57.0,4,1.0,2021ABI
2021_05_20_ABI_S3,3600,60.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3780,63.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3960,66.0,2,0.0,2021ABI
2021_05_20_ABI_S3,4140,69.0,1,0.0,2021ABI
2021_05_20_ABI_S4,0,0.0,4,1.0,2021ABI
2021_05_20_ABI_S4,180,3.0,7,0.863120568566631,2021ABI
2021_05_20_ABI_S4,360,6.0,7,0.9852281360342516,2021ABI
2021_05_20_ABI_S4,720,12.0,7,0.863120568566631,2021ABI
2021_05_20_ABI_S4,900,15.0,1,0.0,2021ABI
2021_05_20_ABI_S4,1440,24.0,1,0.0,2021ABI
2021_05_20_ABI_S4,1620,27.0,1,0.0,2021ABI
2021_05_20_ABI_S4,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S4,2160,36.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S4,2520,42.0,2,0.0,2021ABI
2021_05_20_ABI_S4,2880,48.0,1,0.0,2021ABI
2021_05_20_ABI_S4,3240,54.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S4,3420,57.0,8,0.8112781244591328,2021ABI
2021_05_20_ABI_S5,0,0.0,10,0.8586727110732549,2021ABI
2021_05_20_ABI_S5,180,3.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S5,2880,48.0,8,0.6695919455357793,2021ABI
2021_05_20_ABI_S5,3060,51.0,6,1.0,2021ABI
2021_05_20_ABI_S5,3240,54.0,7,0.5916727785823275,2021ABI
2021_05_20_ABI_S5,3600,60.0,3,0.0,2021ABI
2021_05_20_ABI_S5,3780,63.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S5,3960,66.0,1,0.0,2021ABI
2021_05_20_ABI_S6,0,0.0,8,0.8112781244591328,2021ABI
2021_05_20_ABI_S6,180,3.0,5,0.0,2021ABI
