n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,session_id,any_funded,funded_rate
6,0.3018796874098555,0.6666666666666666,0.3333333333333333,0.5245112497836532,1.0,3,0.5,2020_11_05_NES_S1,0.0,0.0
1,0.7219280948873623,0.0,1.0,0.0,0.0,0,0.0,2020_11_05_NES_S2,0.0,0.0
4,0.49273764861366715,0.5,0.5,0.3430164685151105,1.0,1,0.9854752972273343,2020_11_05_NES_S3,1.0,0.3333333333333333
5,0.3836591668108979,0.6,0.4,0.7091479170272448,1.0,3,-0.5408520829727552,2020_11_05_NES_S4,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,1,0.0,2020_11_05_NES_S5,1.0,1.0
2,0.5,0.5,0.5,1.0,1.0,1,0.0,2020_11_05_NES_S6,0.0,0.0
3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,1.0,1,1.0,2020_11_06_NES_S1,1.0,0.5
4,0.25,0.75,0.25,0.3333333333333333,1.0,1,-1.0,2020_11_06_NES_S10,,
6,0.15304930567574826,0.8333333333333334,0.16666666666666666,0.18365916681089792,0.9182958340544896,1,-0.4591479170272448,2020_11_06_NES_S11,1.0,0.3333333333333333
5,0.3459147917027245,0.6,0.4,0.6352130207431887,0.9182958340544896,3,0.4591479170272448,2020_11_06_NES_S12,1.0,0.5
9,0.48553309860616384,0.4444444444444444,0.5555555555555556,0.5185145755798126,0.9182958340544896,5,-0.6751045145499488,2020_11_06_NES_S2,0.0,0.0
1,1.0,0.0,1.0,0.0,0.0,0,0.0,2020_11_06_NES_S3,1.0,0.6666666666666666
5,0.3836591668108979,0.6,0.4,0.7295739585136224,1.0,3,0.4591479170272448,2020_11_06_NES_S4,0.0,0.0
5,0.7673183336217958,0.2,0.8,0.5204260414863776,1.0,2,0.04085208297275522,2020_11_06_NES_S7,0.0,0.0
9,0.4165464126267139,0.5555555555555556,0.4444444444444444,0.46861471420505313,0.9182958340544896,4,-0.3313434038256521,2020_11_06_NES_S8,0.0,0.0
5,0.34703102019265775,0.6,0.4,0.4337887752408222,0.9709505944546686,2,-0.5888483412003584,2020_11_06_NES_S9,1.0,1.0
13,0.26744735361929467,0.6923076923076923,0.3076923076923077,0.4264199604993902,0.9182958340544896,6,-0.2754887502163469,2021_04_22_MND_S1,1.0,1.0
5,0.33000448432967083,0.6,0.4,0.5,1.0,3,0.32501121082417705,2021_04_22_MND_S3,0.0,0.0
12,0.386091494050197,0.5833333333333334,0.4166666666666667,0.579767613734703,1.0,7,0.20281953111478324,2021_04_22_MND_S4,1.0,1.0
