session_id,n_utterances,time_pressure_total,decision_closure_total,time_pressure_cdp,decision_closure_cdp,time_pressure_beginning,decision_closure_beginning,time_pressure_middle,decision_closure_middle,time_pressure_end,decision_closure_end,conference
2021_04_23_MND_S14,204,0,1,0,1,0,0,0,0,0,1,2021MND
2021_04_23_MND_S15,213,1,3,1,3,0,0,1,1,0,2,2021MND
2021_04_23_MND_S16,186,0,2,0,1,0,0,0,1,0,1,2021MND
2021_04_23_MND_S2,218,1,2,1,0,0,0,1,2,0,0,2021MND
2021_04_23_MND_S3,134,0,0,0,0,0,0,0,0,0,0,2021MND
2021_04_23_MND_S4,182,1,3,1,1,0,2,0,0,1,1,2021MND
2021_04_23_MND_S5,176,1,2,1,0,0,1,1,1,0,0,2021MND
2021_04_23_MND_S6,259,0,1,0,1,0,0,0,0,0,1,2021MND
2021_04_23_MND_S7,202,1,1,0,1,0,0,0,0,1,1,2021MND
2021_04_23_MND_S8,175,0,0,0,0,0,0,0,0,0,0,2021MND
2021_04_23_MND_S9,180,0,0,0,0,0,0,0,0,0,0,2021MND
2021_09_30_MZT_S2,145,0,2,0,1,0,0,0,1,0,1,2021MZT
2021_09_30_MZT_S3,123,1,2,1,2,0,0,0,0,1,2,2021MZT
2021_09_30_MZT_S4,147,0,1,0,0,0,1,0,0,0,0,2021MZT
2021_09_30_MZT_S5,130,0,1,0,0,0,0,0,1,0,0,2021MZT
2021_09_30_MZT_S6,39,1,0,1,0,0,0,1,0,0,0,2021MZT
2021_09_30_MZT_S7,425,0,7,0,4,0,0,0,4,0,3,2021MZT
2021_10_01_MZT_S1,201,0,2,0,1,0,0,0,1,0,1,2021MZT
2021_10_01_MZT_S11,132,1,2,1,1,0,0,0,1,1,1,2021MZT
2021_10_01_MZT_S2,181,1,3,1,1,0,1,0,1,1,1,2021MZT
2021_10_01_MZT_S3,249,1,6,1,5,0,2,1,0,0,4,2021MZT
2021_10_01_MZT_S4,220,1,4,1,3,0,0,1,0,0,4,2021MZT
2021_10_01_MZT_S5,243,0,4,0,2,0,1,0,0,0,3,2021MZT
2021_10_01_MZT_S7,184,0,2,0,2,0,2,0,0,0,0,2021MZT
2021_10_01_MZT_S8,180,0,4,0,0,0,2,0,1,0,1,2021MZT
2021_10_01_MZT_S9,197,1,2,1,0,0,0,0,1,1,1,2021MZT
2021_11_04_NES_S1,115,0,4,0,1,0,2,0,1,0,1,2021NES
2021_11_04_NES_S2,174,0,3,0,0,0,0,0,1,0,2,2021NES
2021_11_04_NES_S3,244,1,8,0,4,0,3,0,1,1,4,2021NES
