session_id,bin_sec,bin_min,n_cdp,entropy,conference
2020_11_05_NES_S1,0,0.0,1,0.0,2020NES
2020_11_05_NES_S1,300,5.0,2,1.0,2020NES
2020_11_05_NES_S1,1800,30.0,5,0.7219280948873623,2020NES
2020_11_05_NES_S1,2400,40.0,2,1.0,2020NES
2020_11_05_NES_S2,0,0.0,5,0.7219280948873623,2020NES
2020_11_05_NES_S3,0,0.0,1,0.0,2020NES
2020_11_05_NES_S3,1200,20.0,1,0.0,2020NES
2020_11_05_NES_S3,2700,45.0,4,1.0,2020NES
2020_11_05_NES_S3,3000,50.0,5,0.9709505944546686,2020NES
2020_11_05_NES_S4,0,0.0,5,0.9709505944546686,2020NES
2020_11_05_NES_S4,300,5.0,1,0.0,2020NES
2020_11_05_NES_S4,2100,35.0,3,0.9182958340544896,2020NES
2020_11_05_NES_S4,2700,45.0,1,0.0,2020NES
2020_11_05_NES_S5,0,0.0,2,1.0,2020NES
2020_11_05_NES_S5,3000,50.0,5,0.0,2020NES
2020_11_05_NES_S6,0,0.0,2,0.0,2020NES
2020_11_05_NES_S6,600,10.0,2,1.0,2020NES
2020_11_06_NES_S1,1500,25.0,1,0.0,2020NES
2020_11_06_NES_S1,2100,35.0,1,0.0,2020NES
2020_11_06_NES_S1,2700,45.0,2,1.0,2020NES
2020_11_06_NES_S10,900,15.0,2,1.0,2020NES
2020_11_06_NES_S10,1200,20.0,1,0.0,2020NES
2020_11_06_NES_S10,1500,25.0,1,0.0,2020NES
2020_11_06_NES_S10,2400,40.0,1,0.0,2020NES
2020_11_06_NES_S11,0,0.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S11,300,5.0,1,0.0,2020NES
2020_11_06_NES_S11,1800,30.0,2,1.0,2020NES
2020_11_06_NES_S11,2100,35.0,1,0.0,2020NES
2020_11_06_NES_S11,2700,45.0,1,0.0,2020NES
2020_11_06_NES_S12,0,0.0,1,0.0,2020NES
2020_11_06_NES_S12,1200,20.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S12,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S12,2400,40.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,0,0.0,5,0.9709505944546686,2020NES
2020_11_06_NES_S2,600,10.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S2,1500,25.0,1,0.0,2020NES
2020_11_06_NES_S2,3000,50.0,6,0.9182958340544896,2020NES
2020_11_06_NES_S2,3600,60.0,2,0.0,2020NES
2020_11_06_NES_S2,3900,65.0,4,0.8112781244591328,2020NES
2020_11_06_NES_S3,1800,30.0,2,1.0,2020NES
2020_11_06_NES_S4,600,10.0,1,0.0,2020NES
2020_11_06_NES_S4,1800,30.0,2,1.0,2020NES
2020_11_06_NES_S4,2100,35.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S4,2700,45.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S7,0,0.0,9,0.9182958340544896,2020NES
2020_11_06_NES_S7,1200,20.0,2,1.0,2020NES
2020_11_06_NES_S7,2400,40.0,1,0.0,2020NES
2020_11_06_NES_S7,3000,50.0,4,1.0,2020NES
2020_11_06_NES_S7,3300,55.0,1,0.0,2020NES
2020_11_06_NES_S8,0,0.0,16,1.0,2020NES
2020_11_06_NES_S8,300,5.0,3,0.0,2020NES
2020_11_06_NES_S8,600,10.0,4,1.0,2020NES
2020_11_06_NES_S8,1200,20.0,1,0.0,2020NES
2020_11_06_NES_S8,1800,30.0,1,0.0,2020NES
2020_11_06_NES_S8,3000,50.0,2,0.0,2020NES
2020_11_06_NES_S8,3900,65.0,3,0.9182958340544896,2020NES
2020_11_06_NES_S9,0,0.0,11,0.9456603046006402,2020NES
2020_11_06_NES_S9,600,10.0,4,0.0,2020NES
2020_11_06_NES_S9,3300,55.0,10,0.7219280948873623,2020NES
2021_05_20_ABI_S1,0,0.0,14,0.5916727785823275,2021ABI
2021_05_20_ABI_S1,3300,55.0,9,0.7725068857142601,2021ABI
2021_05_20_ABI_S1,3600,60.0,5,0.0,2021ABI
2021_05_20_ABI_S1,3900,65.0,1,0.0,2021ABI
2021_05_20_ABI_S1,4200,70.0,1,0.0,2021ABI
2021_05_20_ABI_S2,0,0.0,13,0.39124356362925566,2021ABI
2021_05_20_ABI_S2,300,5.0,3,0.0,2021ABI
2021_05_20_ABI_S2,600,10.0,8,0.8112781244591328,2021ABI
2021_05_20_ABI_S2,1200,20.0,13,0.8904916402194913,2021ABI
2021_05_20_ABI_S2,1500,25.0,4,1.0,2021ABI
2021_05_20_ABI_S2,2100,35.0,1,0.0,2021ABI
2021_05_20_ABI_S2,2400,40.0,1,0.0,2021ABI
2021_05_20_ABI_S2,2700,45.0,6,0.6500224216483541,2021ABI
2021_05_20_ABI_S3,0,0.0,11,0.7827759528141421,2021ABI
2021_05_20_ABI_S3,300,5.0,2,0.0,2021ABI
2021_05_20_ABI_S3,600,10.0,2,0.0,2021ABI
2021_05_20_ABI_S3,1800,30.0,2,1.0,2021ABI
2021_05_20_ABI_S3,2100,35.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3000,50.0,1,0.0,2021ABI
2021_05_20_ABI_S3,3300,55.0,5,0.9709505944546686,2021ABI
2021_05_20_ABI_S3,3600,60.0,2,1.0,2021ABI
2021_05_20_ABI_S3,3900,65.0,2,0.0,2021ABI
2021_05_20_ABI_S3,4200,70.0,1,0.0,2021ABI
2021_05_20_ABI_S4,0,0.0,7,0.863120568566631,2021ABI
2021_05_20_ABI_S4,300,5.0,11,0.9940302114769565,2021ABI
2021_05_20_ABI_S4,600,10.0,7,0.863120568566631,2021ABI
2021_05_20_ABI_S4,900,15.0,1,0.0,2021ABI
2021_05_20_ABI_S4,1500,25.0,2,0.0,2021ABI
2021_05_20_ABI_S4,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S4,2100,35.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S4,2400,40.0,2,0.0,2021ABI
2021_05_20_ABI_S4,2700,45.0,1,0.0,2021ABI
2021_05_20_ABI_S4,3300,55.0,11,0.8453509366224365,2021ABI
2021_05_20_ABI_S5,0,0.0,13,0.8175195311866703,2021ABI
2021_05_20_ABI_S5,300,5.0,1,0.0,2021ABI
2021_05_20_ABI_S5,2700,45.0,8,0.6695919455357793,2021ABI
2021_05_20_ABI_S5,3000,50.0,7,0.9852281360342516,2021ABI
2021_05_20_ABI_S5,3300,55.0,6,0.6500224216483541,2021ABI
2021_05_20_ABI_S5,3600,60.0,6,0.6500224216483541,2021ABI
2021_05_20_ABI_S5,3900,65.0,1,0.0,2021ABI
2021_05_20_ABI_S6,0,0.0,13,0.6193821946787638,2021ABI
2021_05_20_ABI_S6,600,10.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S6,1500,25.0,1,0.0,2021ABI
2021_05_20_ABI_S6,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S6,2100,35.0,1,0.0,2021ABI
2021_05_20_ABI_S6,3300,55.0,1,0.0,2021ABI
2021_05_20_ABI_S6,3600,60.0,1,0.0,2021ABI
2021_05_20_ABI_S6,4200,70.0,5,0.7219280948873623,2021ABI
2021_05_20_ABI_S7,0,0.0,10,0.9709505944546686,2021ABI
2021_05_20_ABI_S7,300,5.0,4,1.0,2021ABI
2021_05_20_ABI_S7,600,10.0,4,0.0,2021ABI
2021_05_20_ABI_S7,2400,40.0,1,0.0,2021ABI
2021_05_20_ABI_S7,3000,50.0,1,0.0,2021ABI
2021_05_20_ABI_S7,3300,55.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S7,3600,60.0,2,1.0,2021ABI
2021_05_20_ABI_S7,3900,65.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S7,4200,70.0,3,0.9182958340544896,2021ABI
2021_05_20_ABI_S8,0,0.0,11,0.8453509366224365,2021ABI
2021_05_20_ABI_S8,300,5.0,11,0.6840384356390417,2021ABI
2021_05_20_ABI_S8,600,10.0,4,0.8112781244591328,2021ABI
2021_05_20_ABI_S8,900,15.0,1,0.0,2021ABI
2021_05_20_ABI_S8,1800,30.0,1,0.0,2021ABI
2021_05_20_ABI_S8,3000,50.0,9,0.9910760598382222,2021ABI
2021_05_20_ABI_S8,3600,60.0,10,0.4689955935892812,2021ABI
2021_05_20_ABI_S8,4200,70.0,5,0.9709505944546686,2021ABI
2021_05_21_ABI_S1,0,0.0,9,0.0,2021ABI
2021_05_21_ABI_S1,300,5.0,3,0.0,2021ABI
2021_05_21_ABI_S1,600,10.0,7,0.0,2021ABI
2021_05_21_ABI_S1,900,15.0,1,0.0,2021ABI
2021_05_21_ABI_S1,1800,30.0,2,1.0,2021ABI
2021_05_21_ABI_S1,2400,40.0,10,0.9709505944546686,2021ABI
2021_05_21_ABI_S1,3000,50.0,6,0.0,2021ABI
2021_05_21_ABI_S1,3600,60.0,2,1.0,2021ABI
2021_05_21_ABI_S1,3900,65.0,4,0.8112781244591328,2021ABI
