session_id,n_utterances,strict_conv_utt,structural_wrap_utt,strict_conv_time_sec,structural_wrap_time_sec,total_time_sec,strict_conv_rate,structural_wrap_rate,strict_conv_time_last_third_sec,structural_wrap_time_last_third_sec,last_third_time_sec,strict_conv_rate_last_third,structural_wrap_rate_last_third,conference
2021_05_21_ABI_S4,259,0,30,0.0,1009.0,3969.0,0.0,0.25422020660115896,0.0,401.0,1157.0,0.0,0.3465859982713915,2021ABI
2021_05_21_ABI_S5,298,1,34,10.0,914.0,3684.0,0.0027144408251900108,0.248099891422367,0.0,267.0,1011.0,0.0,0.26409495548961426,2021ABI
2021_05_21_ABI_S6,288,0,29,0.0,696.0,3506.0,0.0,0.19851682829435255,0.0,180.0,1096.0,0.0,0.16423357664233576,2021ABI
2021_05_21_ABI_S7,139,0,31,0.0,1822.0,4067.0,0.0,0.447996065896238,0.0,578.0,1399.0,0.0,0.4131522516082916,2021ABI
2021_05_21_ABI_S8,237,0,33,0.0,924.0,4097.0,0.0,0.2255308762509153,0.0,413.0,1266.0,0.0,0.32622432859399686,2021ABI
2021_05_21_ABI_S9,174,0,11,0.0,477.0,3424.0,0.0,0.1393107476635514,0.0,82.0,1162.0,0.0,0.07056798623063683,2021ABI
output-2021-05-20-ABI-S1,39,0,11,0.0,728.0,1348.0,0.0,0.5400593471810089,0.0,261.0,575.0,0.0,0.4539130434782609,2021ABI
2021_10_07_CMC_S1,203,0,25,0.0,877.0,4005.0,0.0,0.21897627965043695,0.0,164.0,1233.0,0.0,0.1330089213300892,2021CMC
2021_10_07_CMC_S2,121,0,11,0.0,699.0,3879.0,0.0,0.18020108275328692,0.0,278.0,956.0,0.0,0.2907949790794979,2021CMC
2021_10_07_CMC_S3,169,0,24,0.0,976.0,3035.0,0.0,0.32158154859967053,0.0,94.0,1079.0,0.0,0.0871177015755329,2021CMC
2021_10_07_CMC_S4,187,0,31,0.0,1167.0,3338.0,0.0,0.3496105452366687,0.0,198.0,876.0,0.0,0.22602739726027396,2021CMC
2021_10_07_CMC_S5,174,0,18,0.0,489.0,3053.0,0.0,0.16017032427120864,0.0,77.0,932.0,0.0,0.08261802575107297,2021CMC
2021_10_07_CMC_S6,176,0,27,0.0,1036.0,3697.0,0.0,0.28022721125236677,0.0,361.0,1028.0,0.0,0.35116731517509725,2021CMC
2021_10_07_CMC_S7,131,0,21,0.0,1040.0,3250.0,0.0,0.32,0.0,609.0,1428.0,0.0,0.4264705882352941,2021CMC
2021_10_08_CMC_S1,177,1,21,27.0,1283.0,3743.0,0.007213465134918514,0.3427731765963131,27.0,404.0,893.0,0.030235162374020158,0.45240761478163494,2021CMC
2021_10_08_CMC_S10,182,0,22,0.0,997.0,3701.0,0.0,0.269386652256147,0.0,277.0,826.0,0.0,0.3353510895883777,2021CMC
2021_10_08_CMC_S11,179,1,21,66.0,800.0,4123.0,0.016007761338830948,0.19403347077370847,0.0,289.0,1355.0,0.0,0.2132841328413284,2021CMC
2021_10_08_CMC_S12,126,0,20,0.0,606.0,3016.0,0.0,0.20092838196286472,0.0,225.0,921.0,0.0,0.24429967426710097,2021CMC
2021_10_08_CMC_S13,195,0,41,0.0,1315.0,3671.0,0.0,0.3582130209752111,0.0,276.0,867.0,0.0,0.31833910034602075,2021CMC
2021_10_08_CMC_S14,258,0,46,0.0,1258.0,4263.0,0.0,0.2950973492845414,0.0,319.0,1392.0,0.0,0.22916666666666666,2021CMC
2021_10_08_CMC_S2,180,0,13,0.0,492.0,3138.0,0.0,0.15678776290630975,0.0,180.0,1193.0,0.0,0.15088013411567477,2021CMC
2021_10_08_CMC_S3,169,0,13,0.0,473.0,2692.0,0.0,0.17570579494799404,0.0,29.0,183.0,0.0,0.15846994535519127,2021CMC
2021_10_08_CMC_S4,151,1,21,14.0,791.0,3482.0,0.00402067777139575,0.22716829408385986,14.0,328.0,1316.0,0.010638297872340425,0.24924012158054712,2021CMC
2021_10_08_CMC_S5,195,1,20,26.0,1201.0,3703.0,0.0070213340534701595,0.3243316230083716,26.0,382.0,901.0,0.02885682574916759,0.4239733629300777,2021CMC
2021_10_08_CMC_S6,167,1,22,5.0,606.0,3117.0,0.0016041065126724415,0.1944177093358999,0.0,273.0,1298.0,0.0,0.2103235747303544,2021CMC
