conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy
2020NES,output_2020_11_06_NES_S3,output_2020_11_06_NES_S3__2020_11_06_10_47_07,4,129.0,0.35,lsa,8256.0,552.0,117.71435975188061,0.912514416681245,0.2132506517244214,0.912514416681245,0.912514416681245,0.8313919176347592,1.256978207902333,12.403035565378024,13.493484294239577,12.682528726997552,38.57904858661515
2020NES,output_2020_11_06_NES_S4,output_2020_11_06_NES_S4__Zoom_Meeting_2020_11_06_10_09_38,4,82.0,0.35,lsa,3321.0,208.0,47.67565417004813,0.581410416707904,0.2292098758175391,0.581410416707904,0.5814104167079042,0.8158356593129757,0.7111817362594756,8.661643284089497,7.8308841640345985,7.5794959916281694,24.072023439752265
2020NES,output_2020_11_06_NES_S4,output_2020_11_06_NES_S4__Zoom_Meeting_2020_11_06_10_43_41,4,81.0,0.35,lsa,3240.0,270.0,43.36529732915693,0.5353740411007029,0.16061221233021086,0.5353740411007029,0.535374041100703,0.7488797224121414,0.9246330745425632,8.532762452134627,7.139378612951316,6.846306164005195,22.518447229091137
2020NES,output_2020_11_06_NES_S7,output_2020_11_06_NES_S7__1_beyond_co2_Zoom_Meeting_2020_11_06_12_11_55,6,124.0,0.35,lsa,7626.0,565.0,102.6127704382015,0.8275223422435605,0.18161552289947167,0.8275223422435605,0.8275223422435606,0.7858693628295697,1.2330311664819515,12.923403038293541,12.285476783929171,12.016543622216764,37.22542344443948
2020NES,output_2020_11_06_NES_S8,output_2020_11_06_NES_S8__2020_11_06_12_09_28,8,226.0,0.35,lsa,25425.0,2347.0,418.2720562288529,1.8507613107471366,0.1782156183335547,1.8507613107471366,1.8507613107471361,0.7662604891880048,2.6190569181417187,28.606412041009982,25.575112547607628,25.327904146631035,79.50942873524863
2020NES,output_2020_11_06_NES_S9,output_2020_11_06_NES_S9__2020_11_06_12_09_40,8,199.0,0.35,lsa,19701.0,1656.0,284.21214505754057,1.4282017339574904,0.1716256914598675,1.4282017339574904,1.4282017339574906,0.7563055433938258,1.9330969441335162,21.73538379381602,18.457547463217352,19.898405038447585,60.09133629548096
2021ABI,output_2021_05_20_ABI_S1,output_2021_05_20_ABI_S1__Bot_5_Zoom_Meeting_5_20_2021_12_37_42_PM,7,107.0,0.35,lsa,5671.0,368.0,57.05611296847979,0.533234700639998,0.15504378524043422,0.5332347006399981,0.5332347006399981,0.7543719703012947,0.551850388030009,7.397405047555447,8.254965434719786,8.17279161216547,23.825162094440703
2021ABI,output_2021_05_20_ABI_S2,output_2021_05_20_ABI_S2__Bot_6_Zoom_Meeting_Room_6_2021_05_20_12_36_53,5,93.0,0.35,lsa,4278.0,240.0,55.309387235809666,0.5947245939334372,0.23045578014920695,0.5947245939334372,0.5947245939334371,0.7954934854150889,0.8891326565978238,8.911541072337853,7.881390761263491,8.04027782261212,24.833209656213462
2021ABI,output_2021_05_20_ABI_S2,output_2021_05_20_ABI_S2__Bot_6_Zoom_Meeting_Room_6_2021_05_20_13_24_44,3,139.0,0.35,lsa,9591.0,313.0,74.61574239929398,0.5368039021531941,0.23838895335237692,0.5368039021531941,0.5368039021531942,0.7669620744978172,0.6376835216353276,7.990479366327662,8.459374747893156,6.661633792950887,23.111487907171707
2021ABI,output_2021_05_20_ABI_S3,output_2021_05_20_ABI_S3__bot1_2021_05_20_12_35_38,8,94.0,0.35,lsa,4371.0,315.0,59.324589702425655,0.6311126564087836,0.18833203080135127,0.6311126564087836,0.6311126564087836,0.7660368052585466,0.6999428513590222,8.815711453862223,8.79672524817989,9.10674401356163,26.71918071560374
2021ABI,output_2021_05_20_ABI_S4,output_2021_05_20_ABI_S4__bot2p2_Zoom_Meeting_2021_05_20_12_37_07,7,165.0,0.35,lsa,13530.0,864.0,196.22009611865576,1.189212703749429,0.22710659272992564,1.189212703749429,1.1892127037494291,0.7052064537196879,1.8030166517463746,16.705342285194178,14.954938065694376,14.207421150264102,45.86770150115266
2021ABI,output_2021_05_20_ABI_S5,output_2021_05_20_ABI_S5__bot3p2_Zoom_Meeting_2021_05_20_12_40_54,7,145.0,0.35,lsa,10440.0,727.0,137.12532325018628,0.9456918844840433,0.18861805123822048,0.9456918844840432,0.9456918844840433,0.7582328868040049,1.206998015474083,13.193185200799327,15.143300435126282,14.53577780499854,42.87226344092415
2021ABI,output_2021_05_20_ABI_S6,output_2021_05_20_ABI_S6__bot4_Breakout_Room_4_2021_05_20_12_33_49,8,135.0,0.35,lsa,9045.0,672.0,108.91666727755197,0.8067901279818664,0.16207837392492852,0.8067901279818667,0.8067901279818667,0.7909638943550422,1.2083221542315434,11.986840742253667,11.510838537419572,11.785501055420161,35.2831803350934
2021ABI,output_2021_05_20_ABI_S7,output_2021_05_20_ABI_S7__botB1_2021_05_20_12_34_57,8,95.0,0.35,lsa,4465.0,281.0,43.670568057018684,0.4596901900738809,0.1554112742242658,0.4596901900738809,0.4596901900738808,0.7860197611848961,0.6802446860340747,6.668506458000304,7.389820287542935,7.002705661013403,21.06103240655664
