n_bins,mean_entropy,purity_ratio,mixed_ratio,mean_jump,max_jump,n_transitions,entropy_trend,first_third_entropy,last_third_entropy,session_id,any_funded,funded_rate
11,0.33369662101184355,0.6363636363636364,0.36363636363636365,0.3781013362105996,0.9709505944546686,4,0.3512778610173463,0.3236501981515562,0.6749280591689025,2021_05_21_ABI_S2,1.0,0.3333333333333333
12,0.3055796961645953,0.6666666666666666,0.3333333333333333,0.4347517236577972,1.0,5,-0.4241250204766601,0.670432054485223,0.2463070340085629,2021_06_10_SLU_S4,1.0,1.0
11,0.49295024071415033,0.45454545454545453,0.5454545454545454,0.40565647621309536,1.0,4,-0.04062746321637578,0.6666666666666666,0.6260392034502908,2021_06_11_SLU_S7,1.0,1.0
9,0.4417852020739979,0.4444444444444444,0.5555555555555556,0.28713491594258317,0.9182958340544896,3,-0.4427323420326229,0.7488309533841194,0.3060986113514965,2021_06_11_SLU_S4,1.0,0.5
8,0.5365246664438273,0.375,0.625,0.3712690231070209,1.0,3,-0.07172664201767753,0.7014754515207302,0.6297488095030527,2021_06_11_SLU_S3,1.0,1.0
9,0.6748578090238156,0.2222222222222222,0.7777777777777778,0.4308294313055958,1.0,4,-0.2578918126392108,0.8078992865219955,0.5500074738827847,2021_06_11_SLU_S11,1.0,0.5
12,0.32225386053246835,0.5833333333333334,0.4166666666666667,0.3849892600735153,0.9182958340544896,6,-0.1964306781329357,0.5815961298651704,0.3851654517322347,2021_06_11_SLU_S1,1.0,0.3333333333333333
6,0.589725805280149,0.3333333333333333,0.6666666666666666,0.5729583417487257,0.9182958340544896,3,0.4452425195563908,0.4591479170272448,0.9043904365836356,2021_11_04_NES_S1,1.0,0.5
11,0.474561669936033,0.45454545454545453,0.5454545454545454,0.46007961746175996,1.0,5,-0.17641393967105667,0.56083344685437,0.3844195071833133,2021_06_10_SLU_S5,1.0,0.5
10,0.2446665360464697,0.7,0.3,0.3694458294696167,0.9182958340544896,4,0.23248659415463432,0.21667414054945136,0.4491607347040857,2021_06_10_SLU_S2,1.0,0.5
8,0.16038032609810488,0.75,0.25,0.366583602509954,0.6913698302025114,4,-0.06537977922365992,0.29583638929116374,0.23045661006750381,2021_05_21_ABI_S13,1.0,0.5
11,0.509283251635206,0.45454545454545453,0.5454545454545454,0.3924296228613463,0.9709505944546686,4,-0.2618245077015451,0.9499162569704924,0.6880917492689473,2021_06_10_SLU_S1,1.0,0.3333333333333333
9,0.48069107657629595,0.3333333333333333,0.6666666666666666,0.439378112278632,0.9709505944546686,5,-0.2630612923874388,0.6907421619823851,0.42768086959494633,2021_11_04_NES_S3,1.0,0.5
8,0.2997201339505562,0.625,0.375,0.23751371347277286,0.9910760598382222,2,-0.7459101664692278,0.9270983142024266,0.1811881477331988,2021_11_04_NES_S5,1.0,0.3333333333333333
9,0.34267556874628624,0.5555555555555556,0.4444444444444444,0.2295739585136224,0.9182958340544896,2,0.546741309647284,0.24064269829578744,0.7873840079430714,2021_05_21_ABI_S7,1.0,0.3333333333333333
8,0.4010346550840672,0.5,0.5,0.4736135643239849,0.9182958340544896,4,0.16172038979988068,0.36096404744368116,0.5226844372435618,2021_11_04_NES_S6,1.0,1.0
16,0.3167643795686209,0.5625,0.375,0.44213332677692585,1.0,9,-0.0669462128335847,0.4573100330161754,0.3903638201825907,2021_11_05_NES_S1,1.0,0.25
8,0.29511373316826334,0.625,0.375,0.298161269485599,0.8173454221465102,3,-0.7274845633400563,0.9086727110732551,0.1811881477331988,2021_05_21_ABI_S15,1.0,0.5
5,0.7517668440298584,0.2,0.8,0.5219420871259721,0.9774178175281716,2,-0.045857533244856086,0.9774178175281716,0.9315602842833155,2021_06_11_SLU_S8,1.0,1.0
9,0.5542499239178669,0.3333333333333333,0.6666666666666666,0.7025504524797529,1.0,7,-0.013789828849842811,0.5500074738827847,0.5362176450329419,2021_10_08_CMC_S5,1.0,0.6666666666666666
9,0.3676973967315216,0.5555555555555556,0.4444444444444444,0.4193553209573412,1.0,4,0.24409543958015456,0.2704260414863776,0.5145214810665322,2021_10_08_CMC_S4,1.0,1.0
7,0.4672353930754381,0.42857142857142855,0.5714285714285714,0.5794243483397095,0.9182958340544896,5,-0.4109294303580473,0.7170280417095438,0.3060986113514965,2021_10_08_CMC_S3,1.0,1.0
6,0.5256965392415863,0.3333333333333333,0.6666666666666666,0.5148958508449858,0.9709505944546686,3,-0.5301503120132195,0.8911143594569007,0.36096404744368116,2021_10_07_CMC_S5,1.0,0.5
7,0.4075417840700058,0.5714285714285714,0.42857142857142855,0.4754654147483401,1.0,3,-0.09306291091168695,0.42639624424502026,0.3333333333333333,2021_10_07_CMC_S4,1.0,1.0
