Model,Features,CV_AUC,Fit_AUC,F1
Logistic Regression,Entropy Only (Baseline),0.5390909090909091,0.569281045751634,0.6853146853146853
Random Forest,Entropy Only (Baseline),0.49363636363636365,0.9908496732026144,0.943089430894309
Logistic Regression,Speaker Diversity Only,0.6795454545454546,0.7464052287581701,0.746031746031746
Random Forest,Speaker Diversity Only,0.6477272727272727,0.972875816993464,0.9
Logistic Regression,Timing Patterns Only,0.4821212121212121,0.6339869281045752,0.6461538461538462
Random Forest,Timing Patterns Only,0.4699999999999999,0.9941176470588236,0.916030534351145
Logistic Regression,All Features Combined,0.6884848484848485,0.8369281045751634,0.7704918032786885
Random Forest,All Features Combined,0.666969696969697,1.0,1.0
