conference,session_id,meeting_id,n_chunks,n_moves,threshold,similarity_method,n_possible_links,n_nonzero_links,total_link_weight,weighted_ldi,mean_nonzero_weight,forelink_weight_mean,backlink_weight_mean,cross_speaker_weight_ratio,late_minus_early_backlink,forelink_entropy,backlink_entropy,horizon_entropy,overall_link_entropy,session_id_norm,meeting_base,registry_session_key,funded_rate,any_funded,n_teams,registry_rows,registry_num_teams,registry_num_funded_teams,registry_any_funded,registry_has_teams,registry_funded_rate,funded_rate_entropy,any_funded_entropy,n_teams_entropy,num_funded_teams,outcome_source
2020NES,output_2020_11_05_NES_S6,output_2020_11_05_NES_S6__6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,3,51.0,0.35,lsa,1275.0,47.0,6.465917711272976,0.1267827002210387,0.1375727172611271,0.1267827002210387,0.1267827002210387,0.5942556736568784,0.085796868665621,1.890259494511873,2.0112442192559983,1.8860303153528488,5.78753402912072,2020_11_05_NES_S6,6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,2020_11_05_NES_S6/6_Theory_and_Expt_Zoom_Meeting_2020_11_05_10_48_43,0.0,0.0,2.0,11.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S1,output_2020_11_06_NES_S1__1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,3,46.0,0.35,lsa,1035.0,27.0,6.77635990375841,0.147312171820835,0.2509762927317929,0.1473121718208349,0.147312171820835,0.5986703531184966,0.0386214737792057,1.765028544422765,1.8705619799875348,1.5274977442892657,5.163088268699566,2020_11_06_NES_S1,1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_10_48_29,0.5,1.0,2.0,9.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S1,output_2020_11_06_NES_S1__Zoom_Meeting_2020_11_06_10_17_47,4,47.0,0.35,lsa,1081.0,42.0,4.866624175913259,0.103545195232197,0.1158720041884109,0.1035451952321969,0.103545195232197,0.6898990754536931,0.1835558237951312,1.9285451202989432,1.3904016770044163,1.25702633141315,4.57597312871651,2020_11_06_NES_S1,Zoom_Meeting_2020_11_06_10_17_47,2020_11_06_NES_S1/Zoom_Meeting_2020_11_06_10_17_47,0.5,1.0,2.0,9.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S10,output_2020_11_06_NES_S10__4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,3,39.0,0.35,lsa,741.0,8.0,2.4726438817845064,0.0634011251739617,0.3090804852230633,0.0634011251739617,0.0634011251739617,0.2954016542102051,0.1780101653980004,0.8644965157655244,0.5781949443923,0.9311144416813882,2.3738059018392126,2020_11_06_NES_S10,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_23_32,,0.0,0.0,9.0,0.0,0.0,0.0,False,,,,,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S10,output_2020_11_06_NES_S10__4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00,3,91.0,0.35,lsa,4095.0,308.0,47.58197071789256,0.5228787990977204,0.1544869179152355,0.5228787990977204,0.5228787990977204,0.6701663210780094,0.4941934490886527,7.959232749358999,8.436326158129102,7.348671740851595,23.744230648339695,2020_11_06_NES_S10,4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00,2020_11_06_NES_S10/4_frontiers_in_echem_Zoom_Meeting_2020_11_06_12_52_00,,0.0,0.0,9.0,0.0,0.0,0.0,False,,,,,0.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S11,output_2020_11_06_NES_S11__5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53,7,154.0,0.35,lsa,11781.0,1179.0,188.72922076771465,1.2255144205695754,0.1600756749514119,1.2255144205695754,1.2255144205695754,0.7937597735840474,1.2973227069967164,16.982223401610987,18.163329129710583,16.33892384724501,51.48447637856658,2020_11_06_NES_S11,5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53,2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53,0.3333333333333333,1.0,3.0,11.0,3.0,1.0,1.0,True,0.3333333333333333,0.3333333333333333,1.0,3.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S12,output_2020_11_06_NES_S12__6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03,2,53.0,0.35,lsa,1378.0,70.0,14.706429729501158,0.2774798062170029,0.2100918532785879,0.2774798062170029,0.2774798062170029,0.2934887991803218,0.4702657983571971,4.203560823565582,3.408586639626608,2.7880077562494425,10.400155219441633,2020_11_06_NES_S12,6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03,2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03,0.5,1.0,2.0,8.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S12,output_2020_11_06_NES_S12__6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34,3,47.0,0.35,lsa,1081.0,25.0,4.632394443513398,0.0985615839045403,0.1852957777405359,0.0985615839045403,0.0985615839045403,0.4474583191388834,0.1970852182305631,1.4611382279838745,1.2620825912188127,1.587073910247612,4.3102947294503,2020_11_06_NES_S12,6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34,2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34,0.5,1.0,2.0,8.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S12,output_2020_11_06_NES_S12__6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48,3,61.0,0.35,lsa,1830.0,67.0,12.971913687049632,0.2126543227385185,0.1936106520455169,0.2126543227385185,0.2126543227385186,0.6084015704008856,0.3065706654180702,3.175585960403492,2.7902843953601892,2.430664144007085,8.396534499770766,2020_11_06_NES_S12,6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48,2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48,0.5,1.0,2.0,8.0,2.0,1.0,1.0,True,0.5,0.5,1.0,2.0,1.0,chunk_registry_v1
2020NES,output_2020_11_06_NES_S2,output_2020_11_06_NES_S2__2020_11_06_09_59_04,9,186.0,0.35,lsa,17205.0,1834.0,330.53672895754494,1.77707918794379,0.1802272240771782,1.7770791879437906,1.7770791879437904,0.7844812611680465,2.2300136571215567,24.95208582974121,22.94870202113472,24.64248007446497,72.5432679253409,2020_11_06_NES_S2,2020_11_06_09_59_04,2020_11_06_NES_S2/2020_11_06_09_59_04,0.0,0.0,2.0,9.0,2.0,0.0,0.0,True,0.0,0.0,0.0,2.0,0.0,chunk_registry_v1
